locus_tag,gene_name,old_locus_tag,start,end,strand,gene_product,COG,uniprot
STM474_p1022,trbI,,22256,22642,-,conjugative transfer protein,Function unknown,E8XLE6
STM474_p1023,traC,,22617,25265,-,conjugal transfer ATP-binding protein TraC,"Intracellular trafficking, secretion, and vesicular transport",E8XLE7
STM474_p1024,STM474_p1024,,25281,25544,-,putative inner membrane protein,No COG annotation,E8XLE8
STM474_p1025,STM474_p1025,,25661,26128,-,conjugative transfer protein,No COG annotation,E8XLE9
STM474_p1026,traR,,26121,26342,-,conjugative transfer protein,Signal transduction mechanisms,E8XLF0
STM474_p1027,traV,,26477,26992,-,conjugative transfer assembly protein,Function unknown,E8XLF1
STM474_p1028,trbD,,26989,27234,-,conjugal transfer protein TrbD,No COG annotation,E8XLF2
STM474_p1029,traP,,27212,27808,-,conjugative transfer protein,No COG annotation,E8XLF3
STM474_p1030,traB,,27798,29219,-,conjugative transfer assembly protein,Cell motility,E8XLF4
STM474_p1031,traK,,29219,29959,-,conjugative transfer assembly protein,Inorganic ion transport and metabolism,E8XLF5
STM474_p1032,traE,,29946,30512,-,conjugative transfer assembly protein,Function unknown,E8XLF6
STM474_p1033,traL,,30534,30845,-,conjugal transfer pilus assembly protein TraL,Function unknown,E8XLF7
STM474_p1034,traA,,30860,31222,-,conjugative transfer: fimbrial subunit,Function unknown,E8XLF8
STM474_p1035,traY,,31264,31584,-,conjugative transfer oriT nicking protein,No COG annotation,E8XLF9
STM474_p1036,traJ,,31585,32271,-,conjugative transfer regulatory protein,No COG annotation,E8XLG0
STM474_p1037,traM,,32464,32844,-,conjugative transfer protein,Function unknown,E8XLG1
STM474_p1038,finP,,33259,33729,+,putative transglycosylase,Cell wall/membrane/envelope biogenesis,E8XLG2
STM474_p1039,psiA,,35368,36105,-,Plasmid SOS inhibition,Function unknown,E8XLG3
STM474_p1040,psiB,,36102,36536,-,plasmid SOS inhibition protein B,Function unknown,E8XLG4
STM474_p1041,STM474_p1041,,36576,38573,-,putative ParB-like nuclease,Transcription,E8XLG5
STM474_p1042,STM474_p1042,,38642,38884,-,putative cytoplasmic protein,Function unknown,E8XLG6
STM474_p1043,ssbB,,38939,39457,-,single-strand DNA binding protein,"Replication, recombination and repair",E8XLG7
STM474_p1044,STM474_p1044,,40158,40481,-,putative inner membrane protein,"Replication, recombination and repair",E8XLG8
STM474_p1045,STM474_p1045,,40717,41151,-,putative cytoplasmic protein,No COG annotation,E8XLG9
STM474_p1046,STM474_p1046,,41218,41652,-,putative cytoplasmic protein,Function unknown,E8XLH0
STM474_p1047,STM474_p1047,,42148,42912,-,putative inner membrane protein,No COG annotation,E8XLH1
STM474_p1048,STM474_p1048,,42984,43397,-,hypothetical protein,Function unknown,E8XLH2
STM474_p1049,STM474_p1049,,43453,43674,-,putative cytoplasmic protein,No COG annotation,E8XLH3
STM474_p1050,STM474_p1050,,43674,44354,-,putative adenine-specific DNA methylase,"Replication, recombination and repair",E8XLH4
STM474_p1051,STM474_p1051,,44736,45092,-,putative cytoplasmic protein,No COG annotation,E8XLH5
STM474_p1052,STM474_p1052,,45085,45555,-,putative cytoplasmic protein,No COG annotation,E8XLH6
STM474_p1053,samA,,46066,46488,+,mutagenesis protein,Transcription,E8XLH7
STM474_p1054,umuC,,46488,47762,+,mutagenesis protein,"Replication, recombination and repair",E8XLH8
STM474_p1055,parB,,47844,48821,-,plasmid partition protein B,Transcription,E8XLH9
STM474_p1056,parA,,48818,50023,-,plasmid partition protein A,"Cell cycle control, cell division, chromosome partitioning",E8XLI0
STM474_p1057,STM474_p1057,,50380,50505,+,hypothetical protein,No COG annotation,E8XLI1
STM474_p1058,STM474_p1058,,50435,51379,+,putative cytoplasmic protein,Function unknown,E8XLI2
STM474_p1059,STM474_p1059,,51411,51977,-,hypothetical protein,Function unknown,E8XLI3
STM474_p1060,STM474_p1060,,52034,52450,-,hypothetical protein,No COG annotation,E8XLI4
STM474_p1061,STM474_p1061,,52533,52859,+,putative cytoplasmic protein,No COG annotation,E8XLI5
STM474_p1062,yacC,,52553,53071,-,YacC protein,"Replication, recombination and repair",E8XLI6
STM474_p1063,tlpA,,53055,54170,-,alpha-helical coiled coil protein,"Cell cycle control, cell division, chromosome partitioning",E8XLI7
STM474_p1064,STM474_p1064,,54429,54917,+,putative cytoplasmic protein,No COG annotation,E8XLI8
STM474_p1065,STM474_p1065,,54444,54923,-,hypothetical protein,No COG annotation,E8XLI9
STM474_p1066,STM474_p1066,,55572,56312,+,putative carbonic anhydrase,Inorganic ion transport and metabolism,E8XLJ0
STM474_p1067,rlgA,,56447,57079,+,RlgA,"Replication, recombination and repair",E8XLJ1
STM474_p1068,STM474_p1068,,57063,58727,+,integrase%2C catalytic region,"Replication, recombination and repair",E8XLJ2
STM474_p1069,STM474_p1069,,58660,59685,+,phosphoribulokinase/uridine kinase family protein,"Intracellular trafficking, secretion, and vesicular transport",E8XLJ3
STM474_p1070,STM474_p1070,,59874,60911,-,putative integrase protein,"Replication, recombination and repair",E8XLJ4
STM474_p1071,STM474_p1071,,61119,61256,-,hypothetical protein,No COG annotation,E8XLJ5
STM474_p1072,spvR,,61520,62413,+,virulence lysR family regulator,Transcription,E8XLJ6
STM474_p1073,STM474_p1073,,62370,62516,-,hypothetical protein,No COG annotation,E8XLJ7
STM474_p1074,STM474_p1074,,62587,62751,+,lysozyme,Carbohydrate transport and metabolism,E8XLJ8
STM474_p1075,spvA,,62925,63692,+,virulence outer membrane protein,"Replication, recombination and repair",E8XLJ9
STM474_p1076,STM474_p1076,,63646,63822,+,hypothetical protein,Cell wall/membrane/envelope biogenesis,E8XLK0
STM474_p1077,spvB,,63874,65649,+,virulence protein,Cell wall/membrane/envelope biogenesis,E8XLK1
STM474_p1078,spvC,,65930,66655,+,SpvC,Function unknown,E8XLK2
STM474_p1079,STM474_p1079,,66709,66828,+,hypothetical protein,No COG annotation,E8XLK3
STM474_p1080,spvD,,66916,67566,+,virulence protein,No COG annotation,E8XLK4
STM474_p1081,STM474_p1081,,67693,67956,-,hypothetical protein,"Replication, recombination and repair",E8XLK5
STM474_p1082,ydcA,,68174,68524,+,putative transposase,"Replication, recombination and repair",E8XLK6
STM474_p1084,STM474_p1084,,68591,69151,-,putative adhesin,Cell wall/membrane/envelope biogenesis,E8XLK7
STM474_p1085,STM474_p1085,,69031,69576,-,hypothetical protein,Cell wall/membrane/envelope biogenesis,E8XLK8
STM474_p1086,STM474_p1086,,69683,70273,-,hypothetical protein,No COG annotation,E8XLK9
STM474_p1087,STM474_p1087,,69880,70365,-,putative inner membrane protein,No COG annotation,E8XLL0
STM474_p1088,STM474_p1088,,70359,70847,-,putative inner membrane protein,Function unknown,E8XLL1
STM474_p1089,STM474_p1089,,71034,71585,-,putative diguanylate cyclase/phosphodiesterase,Signal transduction mechanisms,E8XLL2
STM474_p1090,rsdB,,71594,72376,-,resolvase,"Replication, recombination and repair",E8XLL3
STM474_p1091,STM474_p1091,,72411,72932,-,putative cytoplasmic protein,No COG annotation,E8XLL4
STM474_p1092,STM474_p1092,,72929,73219,-,putative cytoplasmic protein,No COG annotation,E8XLL5
STM474_p1093,ccdB,,73221,73526,-,toxin,Function unknown,E8XLL6
STM474_p1094,ccdA,,73528,73746,-,antidote,Function unknown,E8XLL7
STM474_p1095,STM474_p1095,,74422,74943,+,putative periplasmic protein,No COG annotation,E8XLL8
STM474_p1096,STM474_p1096,,75427,75723,+,putative cytoplasmic protein,No COG annotation,E8XLL9
STM474_p1097,STM474_p1097,,76165,76473,-,replication protein,No COG annotation,E8XLM0
STM474_p1098,repA2,,76187,77206,+,DNA replication protein,Function unknown,E8XLM1
STM474_p1099,pefB,,79178,79480,+,fimbrial regulator,Function unknown,E8XLM2
STM474_p1100,pefA,,79755,80273,+,plasmid-encoded major fimbrial subunit,Cell motility,E8XLM3
STM474_p1101,pefC,,80501,82909,+,plasmid-encoded fimbrial usher protein,Cell motility,E8XLM4
STM474_p1102,pefD,,82902,83594,+,chaperone,Cell wall/membrane/envelope biogenesis,E8XLM5
STM474_p1103,STM474_p1103,,83609,84166,+,putative outer membrane protein,No COG annotation,E8XLM6
STM474_p1104,STM474_p1104,,84407,85294,+,putative outer membrane protein,No COG annotation,E8XLM7
STM474_p1105,pefI,,85726,85938,+,plasmid-encoded fimbriae,No COG annotation,E8XLM8
STM474_p1106,STM474_p1106,,85923,86273,+,putative luxR family bacterial regulatory protein,Transcription,E8XLM9
STM474_p1107,srgA,,86518,87171,+,putative thiol-disulfide isomerase or thioredoxin,Cell wall/membrane/envelope biogenesis,E8XLN0
STM474_p1108,srgB,,87304,88203,+,putative outer membrane protein,Function unknown,E8XLN1
STM474_p1109,rck,,88293,88850,+,resistance to complement killing,Cell wall/membrane/envelope biogenesis,E8XLN2
STM474_p1110,srgC,,89117,89875,+,putative bacterial regulatory protein,Transcription,E8XLN3
STM474_p1111,STM474_p1111,,89972,90112,-,hypothetical protein,Function unknown,E8XLN4
STM474_p1112,STM474_p1112,,90826,91041,-,hypothetical protein,No COG annotation,E8XLN5
STM474_p1113,repA,,91053,91934,-,DNA replication,Function unknown,E8XLN6
STM474_p1114,tap,,91915,91992,-,plasmid replication control protein,No COG annotation,E8XLN7
STM474_p1115,repC,,92242,92508,-,replication protein,Function unknown,E8XLN8
STM474_p1116,STM474_p1116,,92687,93130,-,putative phospholipase D,Lipid transport and metabolism,E8XLN9
STM474_p1117,STM474_p1117,,93464,93748,-,putative cytoplasmic protein,"Post-translational modification, protein turnover,and chaperones",E8XLP0
STM474_p201,repY,,378,467,+,replication protein repZ regulatory protein,No COG annotation,E8XLP1
STM474_p202,yacA,,2395,2664,+,conserved hypothetical protein YacA%2C possible repressor,Transcription,E8XLP2
STM474_p203,yacB,,2661,2942,+,putative plasmid stabilization system protein,Function unknown,E8XLP3
STM474_p204,yacC,,2982,3830,+,YacC protein,"Replication, recombination and repair",E8XLP4
STM474_p205,yadA,,3971,4420,+,YadA protein,No COG annotation,E8XLP5
STM474_p206,STM474_p206,,4555,4788,+,hypothetical protein,No COG annotation,E8XLP6
STM474_p207,STM474_p207,,4897,5166,-,hypothetical protein,No COG annotation,E8XLP7
STM474_p208,STM474_p208,,5163,5657,-,hypothetical protein,No COG annotation,E8XLP8
STM474_p209,yafB,,5713,6315,-,YafB protein,No COG annotation,E8XLP9
STM474_p210,STM474_p210,,7350,8015,+,hypothetical protein,No COG annotation,E8XLQ0
STM474_p211,cib,,8294,10174,+,colicin IB,Function unknown,E8XLQ1
STM474_p212,imm,,10192,10539,-,colicin Ib immunity protein,No COG annotation,E8XLQ2
STM474_p213,ydfA,,11610,11870,-,hypothetical protein,No COG annotation,E8XLQ3
STM474_p214,STM474_p214,,12400,12852,+,hypothetical protein,No COG annotation,E8XLQ4
STM474_p215,STM474_p215,,12854,13639,+,resolvase,"Replication, recombination and repair",E8XLQ5
STM474_p216,STM474_p216,,14223,14855,+,ParA,"Cell cycle control, cell division, chromosome partitioning",E8XLQ6
STM474_p217,STM474_p217,,14855,15229,+,hypothetical protein,No COG annotation,E8XLQ7
STM474_p218,parM,,15468,16442,+,plasmid segregation protein ParM,"Post-translational modification, protein turnover,and chaperones",E8XLQ8
STM474_p219,stbB,,16446,16838,+,plasmid stability protein StbB,Function unknown,E8XLQ9
STM474_p220,yfaB,,17495,18421,+,hypothetical protein,Function unknown,E8XLR0
STM474_p221,STM474_p221,,18806,19489,+,putative methylase,"Replication, recombination and repair",E8XLR1
STM474_p222,STM474_p222,,19490,19711,+,hypothetical protein,No COG annotation,E8XLR2
STM474_p223,STM474_p223,,19725,20159,+,hypothetical protein,Function unknown,E8XLR3
STM474_p224,STM474_p224,,21522,21824,+,hypothetical protein,Function unknown,E8XLR4
STM474_p225,STM474_p225,,22290,22481,+,hypothetical protein,No COG annotation,E8XLR5
STM474_p226,ychA,,22552,22866,+,YchA protein,No COG annotation,E8XLR6
STM474_p227,STM474_p227,,22797,23129,-,hypothetical protein,No COG annotation,E8XLR7
STM474_p228,STM474_p228,,23250,23777,+,hypothetical protein,"Replication, recombination and repair",E8XLR8
STM474_p229,ykfF,,23835,24068,+,YkfF protein,Function unknown,E8XLR9
STM474_p230,psiB,,26140,26574,+,plasmid SOS inhibition protein PsiB,Function unknown,E8XLS0
STM474_p231,psiA,,26571,27290,+,plasmid SOS inhibition protein A,Function unknown,E8XLS1
STM474_p232,STM474_p232,,27287,27883,+,hypothetical protein,No COG annotation,E8XLS2
STM474_p233,yddA,,27955,28425,+,hypothetical protein,No COG annotation,E8XLS3
STM474_p234,STM474_p234,,28346,28846,+,anti-restriction protein,Function unknown,E8XLS4
STM474_p235,STM474_p235,,29575,30009,+,hypothetical protein,No COG annotation,E8XLS5
STM474_p236,STM474_p236,,30103,30369,+,hypothetical protein,No COG annotation,E8XLS6
STM474_p237,ygdB,,30434,31360,+,transposase,Function unknown,E8XLS7
STM474_p238,STM474_p238,,31636,31887,-,hypothetical protein,No COG annotation,E8XLS8
STM474_p239,ydiA,,32464,33315,+,YdiA protein,"Replication, recombination and repair",E8XLS9
STM474_p240,STM474_p240,,33401,33736,-,hypothetical protein,No COG annotation,E8XLT0
STM474_p241,nikB,,34312,37011,+,relaxase,"Intracellular trafficking, secretion, and vesicular transport",E8XLT1
STM474_p242,trbC,,37048,39339,-,TrbC protein,"Intracellular trafficking, secretion, and vesicular transport",E8XLT2
STM474_p243,trbB,,39332,40402,-,protein-disulfide,"Post-translational modification, protein turnover,and chaperones",E8XLT3
STM474_p244,trbA,,40421,41629,-,TrbA protein,No COG annotation,E8XLT4
STM474_p245,pndC,,41782,42066,+,counter protein for PndA,No COG annotation,E8XLT5
STM474_p246,pndA,,41921,42073,+,post-segregation killing protein,Function unknown,E8XLT6
STM474_p247,STM474_p247,,42145,42396,-,hypothetical protein,No COG annotation,E8XLT7
STM474_p248,STM474_p248,,42696,42992,+,hypothetical protein,No COG annotation,E8XLT8
STM474_p249,STM474_p249,,43625,43834,+,hypothetical protein,No COG annotation,E8XLT9
STM474_p250,excA,,43906,44349,-,surface exclusion protein ExcA,No COG annotation,E8XLU0
STM474_p251,traX,,46892,47476,-,TraX protein,No COG annotation,E8XLU1
STM474_p252,traW,,47505,48707,-,TraW protein,No COG annotation,E8XLU2
STM474_p253,traV,,48674,49288,-,TraV protein,No COG annotation,E8XLU3
STM474_p254,traU,,49288,52332,-,TraU protein,"Intracellular trafficking, secretion, and vesicular transport",E8XLU4
STM474_p255,traT,,52422,53222,-,TraT protein,No COG annotation,E8XLU5
STM474_p256,traS,,53206,53394,-,TraS protein,No COG annotation,E8XLU6
STM474_p257,traR,,53458,53862,-,TraR protein,No COG annotation,E8XLU7
STM474_p258,traQ,,53913,54440,-,TraQ protein,No COG annotation,E8XLU8
STM474_p259,traP,,54440,55144,-,TraPprotein,No COG annotation,E8XLU9
STM474_p260,traO,,55144,56433,-,TraO protein,"Intracellular trafficking, secretion, and vesicular transport",E8XLV0
STM474_p261,traN,,56436,57419,-,TraN protein,Function unknown,E8XLV1
STM474_p262,traM,,57430,58122,-,TraM protein,Function unknown,E8XLV2
STM474_p263,traL,,58119,58466,-,TraL protein,No COG annotation,E8XLV3
STM474_p264,nuc,,62341,62892,-,EDTA-resistant nuclease,Lipid transport and metabolism,E8XLV4
STM474_p265,traK,,62907,63197,-,TraK protein,No COG annotation,E8XLV5
STM474_p266,traJ,,63194,64342,-,plasmid transfer ATPase TraJ,Cell motility,E8XLV6
STM474_p267,traI,,64339,65157,-,TraI protein,Cell wall/membrane/envelope biogenesis,E8XLV7
STM474_p268,traH,,65154,65612,-,TraH protein,Function unknown,E8XLV8
STM474_p269,traG,,66007,66591,-,TraG protein,Cell wall/membrane/envelope biogenesis,E8XLV9
STM474_p270,traF,,66651,67853,-,TraF protein,Function unknown,E8XLW0
STM474_p271,traE,,67938,68762,-,TraE protein,No COG annotation,E8XLW1
STM474_p272,rci,,68913,70067,-,shufflon-specific DNA reconbinase,"Replication, recombination and repair",E8XLW2
STM474_p273,pilU,,72295,72951,-,prepilin peptidase,Cell motility,E8XLW3
STM474_p274,pilT,,72936,73496,-,PilT,Cell wall/membrane/envelope biogenesis,E8XLW4
STM474_p275,pilS,,73506,74120,-,typeIV prepilin,Function unknown,E8XLW5
STM474_p276,pilR,,74138,75235,-,integral membrane protein,Cell motility,E8XLW6
STM474_p277,pilQ,,75248,76801,-,ATP-binding protein,Cell motility,E8XLW7
STM474_p278,pilP,,76812,77264,-,type IV pilus biogenesis protein PilP,No COG annotation,E8XLW8
STM474_p279,pilO,,77251,78546,-,PilO protein,Function unknown,E8XLW9
STM474_p280,pilN,,78539,80221,-,lipoprotein,Cell motility,E8XLX0
STM474_p281,pilM,,80235,80672,-,PilM protein,Function unknown,E8XLX1
STM474_p282,pilL,,80672,81739,-,PilL protein,Carbohydrate transport and metabolism,E8XLX2
STM474_p283,pilK,,81773,82363,-,PilK protein,No COG annotation,E8XLX3
STM474_p284,pilJ,,82413,82865,-,PilJ protein,No COG annotation,E8XLX4
STM474_p285,pilI,,82908,83162,-,PilI protein,No COG annotation,E8XLX5
STM474_p286,traD,,83430,83996,-,TraD protein,No COG annotation,E8XLX6
STM474_p287,traC,,84010,84693,-,TraC protein,No COG annotation,E8XLX7
STM474_p288,traB,,84947,85480,-,TraB protein,No COG annotation,E8XLX8
STM474_p289,traA,,85922,86209,-,TraA protein,No COG annotation,E8XLX9
STM474_p290,STM474_p290,,86127,86390,-,hypothetical protein,Function unknown,E8XLY0
STM474_0001,thrL,,190,255,+,Thr operon leader peptide,No COG annotation,E8XG21
STM474_0002,thrA,,337,2799,+,Bifunctional aspartokinase/homoserine dehydrogenase 1,Amino acid transport and metabolism,E8XG22
STM474_0003,thrB,,2801,3730,+,homoserine kinase,Nucleotide transport and metabolism,E8XG23
STM474_0004,thrC,,3734,5020,+,threonine synthase,Amino acid transport and metabolism,E8XG24
STM474_0005,yaaa,,5114,5887,-,UPF0246 protein yaaA,Function unknown,E8XG25
STM474_0006,yaaJ,,5966,7423,-,putative alanine/glycine transport protein,"Intracellular trafficking, secretion, and vesicular transport",E8XG26
STM474_0007,talB,,7596,8618,+,transaldolase B,Nucleotide transport and metabolism,E8XG27
STM474_0008,mogA,,8729,9319,+,molybdenum cofactor biosynthesis protein,Coenzyme transport and metabolism,E8XG28
STM474_0009,yaah,,9376,9942,-,Inner membrane protein yaaH,Function unknown,E8XG29
STM474_0010,yaaw,,10092,10805,-,UPF0174 protein yaaW,Function unknown,E8XG30
STM474_0011,yaai,,10841,11245,-,UPF0412 protein yaaI,Function unknown,E8XG31
STM474_0012,STM474_0012,,11299,11424,+,hypothetical protein,No COG annotation,E8XG32
STM474_0013,dnaK,,11593,13509,+,molecular chaperone DnaK,"Post-translational modification, protein turnover,and chaperones",E8XG33
STM474_0014,dnaJ,,13595,14734,+,chaperone protein DnaJ,"Post-translational modification, protein turnover,and chaperones",E8XG34
STM474_0015,STM474_0015,,15014,15961,+,putative transcriptional regulator,Transcription,E8XG35
STM474_0016,STM474_0016,,16088,16432,+,putative bacteriophage protein,Function unknown,E8XG36
STM474_0017,STM474_0017,,16493,17026,-,hypothetical protein,Function unknown,E8XG37
STM474_0018,STM474_0018,,17043,17486,-,hypothetical protein,Transcription,E8XG38
STM474_0019,STM474_0019,,17867,19966,+,putative exochitinase,Carbohydrate transport and metabolism,E8XG39
STM474_0020,STM474_0020,,20058,23054,+,putative hydroxymethyltransferase,Function unknown,E8XG40
STM474_0021,STM474_0021,,23335,24039,+,putative cytoplasmic protein,Signal transduction mechanisms,E8XG41
STM474_0022,bcfA,,24469,25011,+,fimbrial subunit,Cell motility,E8XG42
STM474_0023,bcfB,,25040,25798,+,fimbrial chaparone,Cell wall/membrane/envelope biogenesis,E8XG43
STM474_0024,bcfC,,25803,28424,+,fimbrial usher,Cell motility,E8XG44
STM474_0025,bcfD,,28425,29432,+,fimbrial subunit,Cell motility,E8XG45
STM474_0026,bcfE,,29433,29978,+,fimbrial subunit,Cell motility,E8XG46
STM474_0027,bcfF,,29994,30512,+,fimbrial subunit,Cell motility,E8XG47
STM474_0028,bcfG,,30478,31209,+,fimbrial chaparone,Cell motility,E8XG48
STM474_0029,bcfH,,31274,32119,+,putative thiol-disulfide isomerase,"Post-translational modification, protein turnover,and chaperones",E8XG49
STM474_0030,STM474_0030,,32116,32445,+,hypothetical protein,No COG annotation,E8XG50
STM474_0031,STM474_0031,,32545,32994,-,putative transcriptional regulator,Transcription,E8XG51
STM474_0033,STM474_0033,,33364,34368,+,putative transcriptional regulator,Transcription,E8XG52
STM474_0034,STM474_0034,,34376,34816,-,putative transcriptional regulator,Transcription,E8XG53
STM474_0035,STM474_0035,,35339,37057,+,putative arylsulfatase,Cell wall/membrane/envelope biogenesis,E8XG54
STM474_0036,STM474_0036,,37103,38674,-,putative secreted 5'-nucleotidase,Nucleotide transport and metabolism,E8XG55
STM474_0037,STM474_0037,,38773,39546,-,putative outer membrane/exported protein,Function unknown,E8XG56
STM474_0038,STM474_0038,,40131,41624,+,putative arylsulfatase,Inorganic ion transport and metabolism,E8XG57
STM474_0039,STM474_0039,,41723,42913,+,putative arylsulfatase regulator,Energy production and conversion,E8XG58
STM474_0040,STM474_0040,,42932,44185,+,putative cytoplasmic protein,"Replication, recombination and repair",E8XG59
STM474_0041,STM474_0041,,44312,46027,+,putative arylsulfatase,Cell wall/membrane/envelope biogenesis,E8XG60
STM474_0042,nhaA,,46190,47356,+,pH-dependent sodium/proton antiporter,Inorganic ion transport and metabolism,E8XG61
STM474_0043,nhaR,,47418,48317,+,transcriptional activator NhaR,Transcription,E8XG62
STM474_0044,STM474_0044,,48372,50426,-,putative glycosyl hydrolase,Carbohydrate transport and metabolism,E8XG63
STM474_0045,STM474_0045,,50451,51824,-,putative sodium galactoside symporter,Inorganic ion transport and metabolism,E8XG64
STM474_0046,rpsT,,52280,52543,-,30S ribosomal protein S20,"Translation, ribosomal structure and biogenesis",E8XG65
STM474_0047,yaaY,,52649,52864,+,putative cytoplasmic protein,Function unknown,E8XG66
STM474_0048,ribF,,52872,53810,+,bifunctional riboflavin kinase/FMN adenylyltransferase,Coenzyme transport and metabolism,E8XG67
STM474_0049,ileS,,53819,56689,+,isoleucyl-tRNA synthetase,"Translation, ribosomal structure and biogenesis",E8XG68
STM474_0050,lspA,,56689,57189,+,lipoprotein signal peptidase,Cell wall/membrane/envelope biogenesis,E8XG69
STM474_0051,slpA,,57344,57793,+,FkbB-type 16 kD peptidyl-prolyl cis-trans isomerase,Carbohydrate transport and metabolism,E8XG70
STM474_0052,ispH,,57796,58746,+,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,Lipid transport and metabolism,E8XG71
STM474_0053,STM474_0053,,58925,60148,+,putative nitrite reductase,No COG annotation,E8XG72
STM474_0054,rihC,,60164,61084,+,ribonucleoside hydrolase RihC,Carbohydrate transport and metabolism,E8XG73
STM474_0055,STM474_0055,,61106,61792,-,putative transcriptional regulator,Transcription,E8XG74
STM474_0056,STM474_0056,,61794,63452,-,sensor kinase DpiB,Signal transduction mechanisms,E8XG75
STM474_0057,STM474_0057,,63548,64849,-,putative oxalacetate decarboxylase subunit beta,Energy production and conversion,E8XAZ8
STM474_0058,STM474_0058,,64862,66637,-,pyruvate carboxylase subunit B,Energy production and conversion,E8XG77
STM474_0059,oag3,,66654,66893,-,oxaloacetate decarboxylase subunit gamma,Energy production and conversion,E8XG78
STM474_0060,STM474_0060,,67052,68392,-,citrate-sodium symporter,"Intracellular trafficking, secretion, and vesicular transport",E8XG79
STM474_0061,citC2,,68637,69683,+,putative citrate lyase synthetase,Coenzyme transport and metabolism,E8XG80
STM474_0062,citD2,,69713,70006,+,citrate lyase subunit gamma,Energy production and conversion,E8XG81
STM474_0063,cite,,70003,70872,+,Citrate lyase subunit beta,Carbohydrate transport and metabolism,E8XG82
STM474_0064,citF2,,70883,72403,+,putative citrate lyase alpha chain/citrate-ACP transferase,Energy production and conversion,E8XG83
STM474_0065,citX2,,72403,72954,+,putative cytoplasmic protein,Coenzyme transport and metabolism,E8XG84
STM474_0066,citG,,72905,73840,+,CitG protein,Nucleotide transport and metabolism,E8XG85
STM474_0067,dapB,,74020,74841,+,dihydrodipicolinate reductase,Amino acid transport and metabolism,E8XG86
STM474_0068,STM474_0068,,74967,75242,-,hypothetical protein,No COG annotation,E8XG87
STM474_0069,carA,,75856,77031,+,carbamoyl phosphate synthase small subunit,Nucleotide transport and metabolism,E8XG88
STM474_0070,carB,,77050,80277,+,carbamoyl phosphate synthase large subunit,Nucleotide transport and metabolism,E8XG89
STM474_0071,caiF,,80551,80946,+,DNA-binding transcriptional activator CaiF,Transcription,E8XG90
STM474_0072,caiE,,81023,81619,-,carnitine operon protein CaiE,Function unknown,E8XG91
STM474_0073,caiD,,81728,82513,-,carnitinyl-CoA dehydratase,Coenzyme transport and metabolism,E8XG92
STM474_0074,caiC,,82567,84120,-,putative crotonobetaine/carnitine-CoA ligase,Lipid transport and metabolism,E8XG93
STM474_0076,caiA,,85512,86654,-,crotonobetainyl-CoA dehydrogenase,Lipid transport and metabolism,E8XG94
STM474_0077,caiT,,86689,88206,-,L-carnitine/gamma-butyrobetaine antiporter,Cell wall/membrane/envelope biogenesis,E8XG95
STM474_0078,STM474_0078,,88434,88619,+,hypothetical protein,No COG annotation,E8XG96
STM474_0079,fixA,,88687,89457,+,protein FixA,Energy production and conversion,E8XGY4
STM474_0080,fixB,,89473,90414,+,putative electron transfer flavoprotein FixB,Energy production and conversion,E8XGY5
STM474_0081,fixC,,90464,91750,+,FixC protein,Energy production and conversion,E8XGY6
