locus_tag,start,stop,strand,gene_name,old_locus_tag,gene_product,COG,uniprot
STM14_0044,40131,41624,+,STM14_0044,,putative arylsulfatase,Inorganic ion transport and metabolism,A0A0F6AWG0
STM14_0045,41723,42913,+,STM14_0045,,putative arylsulfatase regulator,Energy production and conversion,A0A0F6AWG1
STM14_0046,42932,44185,+,STM14_0046,,putative cytoplasmic protein,"Replication, recombination and repair",A0A0F6AWG2
STM14_0047,44312,46027,+,STM14_0047,,putative arylsulfatase,Cell wall/membrane/envelope biogenesis,A0A0F6AWG3
STM14_0048,46190,47356,+,nhaA,,pH-dependent sodium/proton antiporter,Inorganic ion transport and metabolism,A0A0F6AWG4
STM14_0049,47418,48317,+,nhaR,,transcriptional activator NhaR,Transcription,A0A0F6AWG5
STM14_0050,48372,50411,-,STM14_0050,,putative glycosyl hydrolase,Carbohydrate transport and metabolism,A0A0F6AWG6
STM14_0051,50451,51824,-,STM14_0051,,putative sodium galactoside symporter,Inorganic ion transport and metabolism,A0A0F6AWG7
STM14_0052,52280,52543,-,rpsT,,30S ribosomal protein S20,"Translation, ribosomal structure and biogenesis",A0A0F6AWG8
STM14_0053,52649,52864,+,yaaY,,putative cytoplasmic protein,Function unknown,A0A0F6AWG9
STM14_0054,52872,53810,+,ribF,,bifunctional riboflavin kinase/FMN adenylyltransferase,Coenzyme transport and metabolism,A0A0F6AWH0
STM14_0055,53855,56689,+,ileS,,isoleucyl-tRNA synthetase,"Translation, ribosomal structure and biogenesis",A0A0F6AWH1
STM14_0056,56689,57189,+,lspA,,lipoprotein signal peptidase,Cell wall/membrane/envelope biogenesis,A0A0F6AWH2
STM14_0057,57203,57334,+,STM14_0057,,hypothetical protein,No COG annotation,A0A0F6AWH3
STM14_0058,57344,57793,+,slpA,,FKBP-type peptidyl-prolyl cis-trans isomerase,Carbohydrate transport and metabolism,A0A0F6AWH4
STM14_0059,57796,58746,+,ispH,,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,Lipid transport and metabolism,A0A0F6AWH5
STM14_0060,58946,60148,+,STM14_0060,,putative nitrite reductase,No COG annotation,A0A0F6AWH6
STM14_0061,60164,61084,+,rihC,,ribonucleoside hydrolase RihC,Carbohydrate transport and metabolism,A0A0F6AWH7
STM14_0062,61106,61792,-,STM14_0062,,putative transcriptional regulator,Transcription,A0A0F6AWH8
STM14_0063,61794,63413,-,STM14_0063,,putative transcriptional regulator,Signal transduction mechanisms,A0A0F6AWH9
STM14_0064,63548,64849,-,STM14_0064,,putative oxalacetate decarboxylase subunit beta,Energy production and conversion,A0A0F6AWI0
STM14_0065,64862,66637,-,STM14_0065,,pyruvate carboxylase subunit B,Energy production and conversion,A0A0F6AWI1
STM14_0066,66654,66893,-,STM14_0066,,oxaloacetate decarboxylase subunit gamma,Energy production and conversion,A0A0F6AWI2
STM14_0067,67052,68392,-,STM14_0067,,putative citrate-sodium symporter,"Intracellular trafficking, secretion, and vesicular transport",A0A0F6AWI3
STM14_0068,68513,68671,-,STM14_0068,,hypothetical protein,No COG annotation,A0A0F6AWI4
STM14_0069,68637,69680,+,citC2,,putative citrate lyase synthetase,Coenzyme transport and metabolism,A0A0F6AWI5
STM14_0070,69710,70003,+,citD2,,citrate lyase subunit gamma,Energy production and conversion,A0A0F6AWI6
STM14_0071,70000,70869,+,citE2,,putative citrate lyase beta chain,Carbohydrate transport and metabolism,A0A0F6AWI7
STM14_0072,70880,72400,+,citF2,,putative citrate lyase alpha chain/citrate-ACP transferase,Energy production and conversion,A0A0F6AWI8
STM14_0073,72400,72951,+,citX2,,putative cytoplasmic protein,Coenzyme transport and metabolism,A0A0F6AWI9
STM14_0074,72929,73837,+,citG2,,triphosphoribosyl-dephospho-CoA synthase,Nucleotide transport and metabolism,A0A0F6AWJ0
STM14_0075,74017,74838,+,dapB,,dihydrodipicolinate reductase,Amino acid transport and metabolism,A0A0F6AWJ1
STM14_0076,74964,75239,-,STM14_0076,,hypothetical protein,No COG annotation,A0A0F6AWJ2
STM14_0077,75881,77029,+,carA,,carbamoyl phosphate synthase small subunit,Nucleotide transport and metabolism,A0A0F6AWJ3
STM14_0078,77048,80275,+,carB,,carbamoyl phosphate synthase large subunit,Nucleotide transport and metabolism,A0A0F6AWJ4
STM14_0079,80354,80542,+,STM14_0079,,hypothetical protein,Function unknown,A0A0F6AWJ5
STM14_0080,80499,80957,+,tnpA_1,,transposase,"Replication, recombination and repair",A0A0F6B779
STM14_0081,81260,81655,+,caiF,,DNA-binding transcriptional activator CaiF,Transcription,A0A0F6AWJ7
STM14_0082,81732,82328,-,caiE,,carnitine operon protein CaiE,Function unknown,A0A0F6AWJ8
STM14_0083,82437,83222,-,caiD,,carnitinyl-CoA dehydratase,Coenzyme transport and metabolism,A0A0F6AWJ9
STM14_0084,83276,84829,-,caiC,,putative crotonobetaine/carnitine-CoA ligase,Lipid transport and metabolism,A0A0F6AWK0
STM14_0085,84892,86109,-,caiB,,crotonobetainyl-CoA:carnitine CoA-transferase,Energy production and conversion,A0A0F6AWK1
STM14_0086,86109,86246,-,STM14_0086,,hypothetical protein,No COG annotation,A0A0F6AWK2
STM14_0087,86221,87363,-,caiA,,crotonobetainyl-CoA dehydrogenase,Lipid transport and metabolism,A0A0F6AWK3
STM14_0088,87398,88915,-,caiT,,L-carnitine/gamma-butyrobetaine antiporter,Cell wall/membrane/envelope biogenesis,A0A0F6AWK4
STM14_0089,89119,89328,+,STM14_0089,,conserved hypothetical protein,No COG annotation,A0A0F6AWK5
STM14_0090,89396,90166,+,fixA,,putative electron transfer flavoprotein FixA,Energy production and conversion,A0A0F6AWK6
STM14_0091,90182,91123,+,fixB,,putative electron transfer flavoprotein FixB,Energy production and conversion,A0A0F6AWK7
STM14_0092,91173,92459,+,fixC,,putative oxidoreductase FixC,Energy production and conversion,A0A0F6AWK8
STM14_0093,92456,92743,+,fixX,,putative ferredoxin,Energy production and conversion,A0A0F6AWK9
STM14_0094,92890,94230,+,yaaU,,putative transport protein,Carbohydrate transport and metabolism,A0A0F6AWL0
STM14_0095,94319,94549,+,STM14_0095,,putative outer membrane lipoprotein,Cell wall/membrane/envelope biogenesis,A0A0F6AWL1
STM14_0096,94843,95259,+,STM14_0096,,putative secreted protein,No COG annotation,A0A0F6AWL2
STM14_0097,95263,95379,-,STM14_0097,,hypothetical protein,No COG annotation,A0A0F6AWL3
STM14_0098,95483,95773,-,STM14_0098,,putative secreted protein,Function unknown,A0A0F6AWL4
STM14_0099,95983,96177,+,STM14_0099,,putative inner membrane protein,No COG annotation,A0A0F6AWL5
STM14_0100,96671,98560,+,STM14_0100,,putative sulfatase,Inorganic ion transport and metabolism,A0A0F6AWL6
STM14_0101,98644,98802,-,STM14_0101,,hypothetical protein,No COG annotation,A0A0F6AWL7
STM14_0102,98738,99019,+,STM14_0102,,hypothetical protein,No COG annotation,A0A0F6AWL8
STM14_0103,98967,99497,+,yabF,,glutathione-regulated potassium-efflux system ancillary protein KefF,Energy production and conversion,A0A0F6AWL9
STM14_0104,99490,101352,+,kefC,,glutathione-regulated potassium-efflux system protein KefC,Inorganic ion transport and metabolism,A0A0F6AWM0
STM14_0105,101349,101474,-,STM14_0105,,hypothetical protein,No COG annotation,A0A0F6AWM1
STM14_0106,101551,102030,+,folA,,dihydrofolate reductase,Coenzyme transport and metabolism,A0A0F6AWM2
STM14_0107,102136,102984,-,apaH,,diadenosine tetraphosphatase,Signal transduction mechanisms,A0A0F6AWM3
STM14_0108,102995,103372,-,apaG,,ApaG,Inorganic ion transport and metabolism,A0A0F6AWM4
STM14_0109,103375,104196,-,ksgA,,dimethyladenosine transferase,"Translation, ribosomal structure and biogenesis",A0A0F6AWM5
STM14_0110,104193,105182,-,pdxA_1,,4-hydroxythreonine-4-phosphate dehydrogenase,Coenzyme transport and metabolism,A0A0F6AWM6
STM14_0111,105182,106468,-,surA,,peptidyl-prolyl cis-trans isomerase SurA,Cell wall/membrane/envelope biogenesis,A0A0F6AWM7
STM14_0112,106522,108882,-,imp,,organic solvent tolerance protein,Cell wall/membrane/envelope biogenesis,A0A0F6AWM8
STM14_0113,108892,109053,-,STM14_0113,,hypothetical protein,No COG annotation,A0A0F6AWM9
STM14_0114,109136,109948,+,djlA,,DNA-J like membrane chaperone protein,"Post-translational modification, protein turnover,and chaperones",A0A0F6AWN0
STM14_0115,110043,110702,-,rluA,,23S rRNA/tRNA pseudouridine synthase A,"Translation, ribosomal structure and biogenesis",A0A0F6AWN1
STM14_0116,110714,113620,-,hepA,,ATP-dependent helicase HepA,Transcription,A0A0F6AWN2
STM14_0117,113794,116145,-,polB,,DNA polymerase II,"Replication, recombination and repair",A0A0F6AWN3
STM14_0118,116189,116941,-,STM14_0118,,putative secreted protein,Function unknown,A0A0F6AWN4
STM14_0119,117528,117947,+,STM14_0119,,putative cytoplasmic protein,Function unknown,A0A0F6AWN5
STM14_0120,117953,118648,-,araD,,L-ribulose-5-phosphate 4-epimerase,Carbohydrate transport and metabolism,A0A0F6AWN6
STM14_0121,118789,120291,-,araA,,L-arabinose isomerase,Carbohydrate transport and metabolism,A0A0F6AWN7
STM14_0122,120302,122011,-,araB,,ribulokinase,Nucleotide transport and metabolism,A0A0F6AWN8
STM14_0123,122352,123197,+,araC,,DNA-binding transcriptional regulator AraC,Transcription,A0A0F6AWN9
STM14_0124,123316,124083,+,yabI,,hypothetical protein,Function unknown,A0A0F6AWP0
STM14_0125,124122,124829,-,thiQ,,thiamine transporter ATP-binding subunit,Coenzyme transport and metabolism,A0A0F6AWP1
STM14_0126,124813,126423,-,thiP,,thiamine transporter membrane protein,Inorganic ion transport and metabolism,A0A0F6AWP2
STM14_0127,126399,127382,-,tbpA,,thiamine transporter substrate binding subunit,Coenzyme transport and metabolism,A0A0F6AWP3
STM14_0128,127427,127546,-,STM14_0128,,putative lipoprotein,No COG annotation,A0A0F6AWP4
STM14_0129,127560,129218,-,yabN,,transcriptional regulator SgrR,Transcription,A0A0F6AWP5
STM14_0130,129166,129492,-,STM14_0130,,hypothetical protein,No COG annotation,A0A0F6AWP6
STM14_0131,129769,130374,-,leuD,,isopropylmalate isomerase small subunit,Amino acid transport and metabolism,A0A0F6AWP7
STM14_0132,130385,131785,-,leuC,,isopropylmalate isomerase large subunit,Amino acid transport and metabolism,A0A0F6AWP8
STM14_0133,131788,132879,-,leuB,,3-isopropylmalate dehydrogenase,Energy production and conversion,A0A0F6AWP9
STM14_0134,132879,134450,-,leuA,,2-isopropylmalate synthase,Amino acid transport and metabolism,A0A0F6AWQ0
STM14_0135,134538,134624,-,leuL,,leu operon leader peptide,No COG annotation,A0A0F6AWQ1
STM14_0136,134689,134793,-,STM14_0136,,hypothetical protein,No COG annotation,A0A0F6AWQ2
STM14_0137,135067,135210,+,STM14_0137,,hypothetical protein,No COG annotation,A0A0F6AWQ3
STM14_0138,135281,136225,+,leuO,,leucine transcriptional activator,Transcription,A0A0F6AWQ4
STM14_0139,136610,138271,+,ilvI,,acetolactate synthase 3 catalytic subunit,Coenzyme transport and metabolism,A0A0F6AWQ5
STM14_0140,138274,138765,+,ilvH,,acetolactate synthase 3 regulatory subunit,Amino acid transport and metabolism,A0A0F6AWQ6
STM14_0141,138755,138877,-,STM14_0141,,hypothetical protein,No COG annotation,A0A0F6AWQ7
STM14_0142,139049,140053,+,fruR,,DNA-binding transcriptional regulator FruR,Transcription,A0A0F6AWQ8
STM14_0143,140204,140338,-,STM14_0143,,hypothetical protein,No COG annotation,A0A0F6AWQ9
STM14_0144,140496,140633,+,STM14_0144,,hypothetical protein,No COG annotation,A0A0F6AWR0
STM14_0145,140659,141117,+,yabB,,cell division protein MraZ,Transcription,A0A0F6AWR1
STM14_0146,141119,142060,+,mraW,,S-adenosyl-methyltransferase MraW,"Translation, ribosomal structure and biogenesis",A0A0F6AWR2
STM14_0147,142057,142422,+,ftsL,,cell division protein FtsL,"Cell cycle control, cell division, chromosome partitioning",A0A0F6AWR3
STM14_0148,142438,144204,+,ftsI,,division specific transpeptidase,"Cell cycle control, cell division, chromosome partitioning",A0A0F6AWR4
STM14_0149,144191,145678,+,murE,,UDP-N-acetylmuramoylalanyl-D-glutamate--2%2C 6-diaminopimelate ligase,Cell wall/membrane/envelope biogenesis,A0A0F6AWR5
STM14_0150,145675,147033,+,murF,,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase,Cell wall/membrane/envelope biogenesis,A0A0F6AWR6
STM14_0151,147027,148109,+,mraY,,phospho-N-acetylmuramoyl-pentapeptide- transferase,Cell wall/membrane/envelope biogenesis,A0A0F6AWR7
STM14_0152,148112,149428,+,murD,,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate synthetase,Cell wall/membrane/envelope biogenesis,A0A0F6AWR8
STM14_0153,149428,150672,+,ftsW,,cell division protein FtsW,"Cell cycle control, cell division, chromosome partitioning",A0A0F6AWR9
STM14_0154,150669,151736,+,murG,,N-acetylglucosaminyl transferase,Cell wall/membrane/envelope biogenesis,A0A0F6AWS0
STM14_0155,151855,153330,+,murC,,UDP-N-acetylmuramate--L-alanine ligase,Cell wall/membrane/envelope biogenesis,A0A0F6AWS1
STM14_0156,153323,154243,+,ddl_2,,D-alanine--D-alanine ligase,Nucleotide transport and metabolism,A0A0F6AWS2
STM14_0157,154245,155075,+,ftsQ,,cell division protein FtsQ,"Cell cycle control, cell division, chromosome partitioning",A0A0F6AWS3
STM14_0158,155072,156334,+,ftsA,,cell division protein FtsA,"Cell cycle control, cell division, chromosome partitioning",A0A0F6AWS4
STM14_0159,156395,157546,+,ftsZ,,cell division protein FtsZ,"Cell cycle control, cell division, chromosome partitioning",A0A0F6AWS5
STM14_0160,157647,158564,+,lpxC,,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase,Nucleotide transport and metabolism,A0A0F6AWS6
STM14_0161,158843,159340,+,yacA,,SecA regulator SecM,Function unknown,A0A0F6AWS7
STM14_0162,159402,162107,+,secA,,preprotein translocase subunit SecA,"Intracellular trafficking, secretion, and vesicular transport",A0A0F6AWS8
STM14_0163,162259,162654,+,mutT,,nucleoside triphosphate pyrophosphohydrolase,"Replication, recombination and repair",A0A0F6AWS9
STM14_0164,162688,162822,-,STM14_0164,,,Energy production and conversion,
STM14_0165,162875,162979,+,STM14_0165,,putative transcriptional regulator%2C LysR family,Transcription,A0A0F6AWT0
STM14_0166,162976,163167,-,yacG,,zinc-binding protein,Function unknown,A0A0F6AWT1
STM14_0167,163177,163920,-,yacF,,hypothetical protein,"Cell cycle control, cell division, chromosome partitioning",A0A0F6AWT2
STM14_0168,163920,164540,-,coaE,,dephospho-CoA kinase,Nucleotide transport and metabolism,A0A0F6AWT3
STM14_0169,164766,165809,+,guaC,,guanosine 5'-monophosphate oxidoreductase,Nucleotide transport and metabolism,A0A0F6AWT4
STM14_0170,165840,167042,-,hofC,,type IV pilin biogenesis protein,Cell motility,A0A0F6AWT5
STM14_0171,167032,168417,-,hofB,,hypothetical protein,Cell motility,A0A0F6AWT6
STM14_0172,168427,168864,-,ppdD,,putative major pilin subunit,Cell motility,A0A0F6AWT7
STM14_0173,168890,169072,-,STM14_0173,,hypothetical protein,No COG annotation,A0A0F6AWT8
STM14_0174,169086,169979,-,nadC,,quinolinate phosphoribosyltransferase,Coenzyme transport and metabolism,A0A0F6AWT9
STM14_0175,170067,170630,+,ampD,,N-acetyl-anhydromuranmyl-L-alanine amidase,Defense mechanisms,A0A0F6AWU0
STM14_0176,170627,171481,+,ampE,,regulatory protein AmpE,Defense mechanisms,A0A0F6AWU1
STM14_0177,171573,172523,-,STM14_0177,,putative cytoplasmic protein,Carbohydrate transport and metabolism,A0A0F6AWU2
STM14_0178,172523,173929,-,STM14_0178,,Na+/galactoside symporter,Carbohydrate transport and metabolism,A0A0F6AWU3
STM14_0179,173962,174090,-,STM14_0179,,hypothetical protein,No COG annotation,A0A0F6AWU4
STM14_0180,174093,175466,-,aroP,,aromatic amino acid transporter,Amino acid transport and metabolism,A0A0F6AWU5
STM14_0181,175672,175794,+,STM14_0181,,hypothetical protein,No COG annotation,A0A0F6AWU6
STM14_0182,176029,176793,+,pdhR,,transcriptional regulator PdhR,Transcription,A0A0F6AWU7
STM14_0183,176953,179616,+,aceE,,pyruvate dehydrogenase subunit E1,Energy production and conversion,A0A0F6AWU8
STM14_0184,179631,181520,+,aceF,,dihydrolipoamide acetyltransferase,Energy production and conversion,A0A0F6AWU9
STM14_0185,181720,183144,+,lpdA,,dihydrolipoamide dehydrogenase,Energy production and conversion,A0A0F6AWV0
STM14_0186,183222,183350,+,STM14_0186,,hypothetical protein,No COG annotation,A0A0F6AWV1
STM14_0187,183433,183717,+,STM14_0187,,putative outer membrane protein,No COG annotation,A0A0F6AWV2
STM14_0188,183755,184546,-,STM14_0188,,putative periplasmic protein,Cell motility,A0A0F6AWV3
STM14_0189,184559,186173,-,yacH,,,Cell wall/membrane/envelope biogenesis,
STM14_0190,186562,189159,+,acnB,,bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase,Energy production and conversion,A0A0F6AWV4
STM14_0191,189220,190062,-,STM14_0191,,putative restriction endonuclease,"Replication, recombination and repair",A0A0F6AWV5
STM14_0192,190308,190670,+,yacL,,hypothetical protein,Function unknown,A0A0F6AWV6
STM14_0193,190905,191858,+,kdgT,,2-keto-3-deoxygluconate permease,"Intracellular trafficking, secretion, and vesicular transport",A0A0F6AWV7
STM14_0194,191855,193126,+,STM14_0194,,putative inner membrane protein,Function unknown,A0A0F6AWV8
STM14_0195,193116,194099,+,pdxA_2,,4-hydroxythreonine-4-phosphate dehydrogenase 2,Coenzyme transport and metabolism,A0A0F6AWV9
STM14_0196,194109,194876,+,STM14_0196,,putative transcriptional regulator,Transcription,A0A0F6AWW0
STM14_0197,194906,195700,-,speD,,S-adenosylmethionine decarboxylase,Nucleotide transport and metabolism,A0A0F6AWW1
STM14_0198,195721,196581,-,speE,,spermidine synthase,Amino acid transport and metabolism,A0A0F6AWW2
STM14_0199,196688,197035,-,yacC,,putative periplasmic protein,Function unknown,A0A0F6AWW3
STM14_0200,197237,198847,+,cueO,,multicopper oxidase,"Secondary metabolites biosynthesis, transport, and catabolism",A0A0F6AWW4
STM14_0201,198925,201315,-,gcd,,glucose dehydrogenase,Carbohydrate transport and metabolism,A0A0F6AWW5
STM14_0202,201521,202057,+,hpt,,hypoxanthine-guanine phosphoribosyltransferase,Nucleotide transport and metabolism,A0A0F6AWW6
STM14_0203,202115,202777,-,yadF,,carbonic anhydrase,Inorganic ion transport and metabolism,A0A0F6AWW7
STM14_0204,202886,203812,+,yadG,,putative ABC-type multidrug transport system ATPase component,Defense mechanisms,A0A0F6AWW8
STM14_0205,203809,204579,+,yadH,,putative transport protein,Defense mechanisms,A0A0F6AWW9
STM14_0206,204696,205775,-,stiH,,putative fimbrial protein precurosr,Cell motility,A0A0F6AWX0
STM14_0207,205784,208330,-,stiC,,putative fimbrial usher,Cell motility,A0A0F6AWX1
STM14_0208,208357,209040,-,stiB,,putative fimbrial chaparone,Cell wall/membrane/envelope biogenesis,A0A0F6AWX2
STM14_0209,209088,209627,-,stiA,,putative fimbrial subunit,Cell motility,A0A0F6AWX3
STM14_0210,209796,209966,-,STM14_0210,,hypothetical protein,No COG annotation,A0A0F6AWX4
STM14_0211,209997,210437,+,yadI,,putative PTS enzyme,Carbohydrate transport and metabolism,A0A0F6AWX5
STM14_0212,210499,211728,+,yadE,,putative xylanase/chitin deacetylase,Carbohydrate transport and metabolism,A0A0F6AWX6
STM14_0213,211735,212115,-,panD,,aspartate alpha-decarboxylase,Coenzyme transport and metabolism,A0A0F6AWX7
STM14_0214,212210,213064,-,panC,,pantoate--beta-alanine ligase,Coenzyme transport and metabolism,A0A0F6AWX8
STM14_0215,213058,213171,-,STM14_0215,,hypothetical protein,No COG annotation,A0A0F6AWX9
STM14_0216,213190,213981,-,panB,,3-methyl-2-oxobutanoate hydroxymethyltransferase,Coenzyme transport and metabolism,A0A0F6AWY0
STM14_0217,214102,214581,-,folK,,2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase,Coenzyme transport and metabolism,A0A0F6AWY1
STM14_0218,214578,215996,-,pcnB,,poly(A) polymerase I,Nucleotide transport and metabolism,A0A0F6AWY2
STM14_0219,216137,217033,-,yadB,,glutamyl-Q tRNA(Asp) synthetase,"Translation, ribosomal structure and biogenesis",A0A0F6AWY3
STM14_0220,217102,217557,-,dksA,,DnaK transcriptional regulator DksA,Transcription,A0A0F6AWY4
STM14_0221,217734,218438,-,sfsA,,sugar fermentation stimulation protein A,Function unknown,A0A0F6AWY5
STM14_0222,218455,218985,-,ligT,,2'-5' RNA ligase,"Translation, ribosomal structure and biogenesis",A0A0F6AWY6
STM14_0223,219013,221487,+,hrpB,,ATP-dependent RNA helicase HrpB,"Replication, recombination and repair",A0A0F6AWY7
STM14_0224,221426,221587,+,STM14_0224,,hypothetical protein,No COG annotation,A0A0F6AWY8
STM14_0225,221522,221629,-,STM14_0225,,hypothetical protein,No COG annotation,A0A0F6AWY9
STM14_0226,221628,224150,+,mrcB,,penicillin-binding protein 1b,Cell wall/membrane/envelope biogenesis,A0A0F6AWZ0
STM14_0227,224289,224429,-,STM14_0227,,hypothetical protein,No COG annotation,A0A0F6AWZ1
STM14_0228,224443,226632,+,fhuA,,ferrichrome outer membrane transporter,Inorganic ion transport and metabolism,A0A0F6AWZ2
STM14_0229,226681,227478,+,fhuC,,iron-hydroxamate transporter ATP-binding subunit,Coenzyme transport and metabolism,A0A0F6AWZ3
STM14_0230,227478,228368,+,fhuD,,iron-hydroxamate transporter substrate-binding subunit,Inorganic ion transport and metabolism,A0A0F6AWZ4
STM14_0231,228365,230422,+,fhuB,,iron-hydroxamate transporter permease subunit,Inorganic ion transport and metabolism,A0A0F6AWZ5
STM14_0232,230459,230665,+,STM14_0232,,hypothetical protein,No COG annotation,A0A0F6AWZ6
STM14_0233,231001,231144,+,STM14_0233,,hypothetical protein,No COG annotation,A0A0F6AWZ7
STM14_0234,231361,231921,+,stfA,,putative fimbrial subunit,Cell motility,A0A0F6AWZ8
STM14_0235,232007,234664,+,stfC,,putative fimbrial outer membrane usher,Cell motility,A0A0F6AWZ9
STM14_0236,234682,235434,+,stfD,,putative periplasmic fimbrial chaperone,Cell wall/membrane/envelope biogenesis,A0A0F6AX00
STM14_0237,235453,235965,+,stfE,,putative minor fimbrial subunit,Cell motility,A0A0F6AX01
STM14_0238,235962,236438,+,stfF,,putative minor fimbrial subunit,Cell motility,A0A0F6AX02
STM14_0239,236438,236968,+,stfG,,putative minor fimbrial subunit,Cell motility,A0A0F6AX03
STM14_0240,236968,237807,+,STM14_0240,,putative outer membrane protein,Function unknown,A0A0F6AX04
STM14_0241,237915,239195,-,hemL,,glutamate-1-semialdehyde aminotransferase,Coenzyme transport and metabolism,A0A0F6AX05
STM14_0242,239222,239365,+,STM14_0242,,hypothetical protein,No COG annotation,A0A0F6AX06
STM14_0243,239365,240786,+,yadQ,,chloride channel protein,Inorganic ion transport and metabolism,A0A0F6AX07
STM14_0244,240868,241212,+,yadR,,iron-sulfur cluster insertion protein ErpA,Energy production and conversion,A0A0F6AX08
