,gene_id,gene_ontology
47,UniProtKB:Q7CPT1|PTN002013075,ligase activity
48,UniProtKB:Q7CQ52|PTN002115845,NADH dehydrogenase (ubiquinone) activity
49,UniProtKB:Q7CPT3|PTN001704789,hexuronate transmembrane transporter activity
50,UniProtKB:Q7CQ54|PTN001894755,"transferase activity, transferring acyl groups other than amino-acyl groups"
51,UniProtKB:Q7CPU5|PTN001652563,NAD binding
52,UniProtKB:Q7CPU5|PTN001652563,glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity
53,UniProtKB:Q7CPU5|PTN001652563,cytosol
54,UniProtKB:Q7CPU5|PTN001652563,glucose metabolic process
55,UniProtKB:Q7CPU6|PTN002022831,fructose-bisphosphate aldolase activity
56,UniProtKB:Q7CPU6|PTN002022831,glycolytic process
57,UniProtKB:Q7CPU6|PTN002022831,gluconeogenesis
58,UniProtKB:Q7CPU6|PTN002022831,plasma membrane
59,UniProtKB:Q7CPU6|PTN002022831,cell wall
60,UniProtKB:Q7CPU6|PTN002022831,cytosol
61,UniProtKB:Q7CPU6|PTN002022831,zinc ion binding
62,UniProtKB:Q7CPV1|PTN001753709,succinate metabolic process
63,UniProtKB:Q7CQ74|PTN002020084,microcin transport
64,UniProtKB:Q7CPV5|PTN002019291,positive regulation of gene expression
65,UniProtKB:Q7CPV5|PTN002019291,sequence-specific DNA binding
66,UniProtKB:Q7CPV5|PTN002019291,lysine biosynthetic process via diaminopimelate
67,UniProtKB:Q7CPY8|PTN002018133,plasma membrane
68,UniProtKB:Q7CPZ6|PTN002210933,plasma membrane
69,UniProtKB:Q7CQG2|PTN001962767,oxidoreductase activity
70,UniProtKB:Q7CQG2|PTN001962767,cytosol
71,UniProtKB:Q7CQG2|PTN001962767,oxidation-reduction process
72,UniProtKB:Q7CR28|PTN002198287,aerobic respiration
73,UniProtKB:Q7CR28|PTN002198287,aerobic electron transport chain
74,UniProtKB:Q7CR28|PTN002198287,integral component of plasma membrane
75,UniProtKB:Q7CR28|PTN002198287,proton transmembrane transporter activity
76,UniProtKB:Q7CR28|PTN002198287,cytochrome bo3 ubiquinol oxidase activity
77,UniProtKB:Q7CR28|PTN002198287,electron transport coupled proton transport
78,UniProtKB:Q7CR28|PTN002198287,electron transfer activity
79,UniProtKB:Q7CR28|PTN002198287,cytochrome o ubiquinol oxidase complex
80,UniProtKB:Q7CR28|PTN002198287,oxidoreduction-driven active transmembrane transporter activity
81,UniProtKB:Q7CQR0|PTN001894526,cytoplasm
82,UniProtKB:Q7CQR0|PTN001894526,adenosine 5'-monophosphoramidase activity
83,UniProtKB:Q7CQR0|PTN001894526,cytosol
84,UniProtKB:Q7CQR0|PTN001894526,D-alanine catabolic process
85,UniProtKB:Q7CQR0|PTN001894526,hydrolase activity
86,UniProtKB:Q7CR39|PTN002012817,protein transport
87,UniProtKB:Q7CR40|PTN002141890,integral component of plasma membrane
88,UniProtKB:Q7CQS8|PTN002200716,sulfur carrier activity
89,UniProtKB:Q7CQS8|PTN002200716,tRNA wobble position uridine thiolation
90,UniProtKB:Q7CR60|PTN001856261,lytic endotransglycosylase activity
91,UniProtKB:Q7CR62|PTN001688932,proline-tRNA ligase activity
92,UniProtKB:Q7CR62|PTN001688932,prolyl-tRNA aminoacylation
93,UniProtKB:Q7CR62|PTN001688932,cytosol
94,UniProtKB:Q7CR66|PTN001601184,cytosol
95,UniProtKB:Q7CR66|PTN001601184,protein maturation by [4Fe-4S] cluster transfer
96,UniProtKB:Q7CR66|PTN001601184,"4 iron, 4 sulfur cluster binding"
97,UniProtKB:Q7CR66|PTN001601184,iron-sulfur cluster assembly
98,UniProtKB:Q7CR66|PTN001601184,protein maturation
99,UniProtKB:Q7CR66|PTN001601184,"2 iron, 2 sulfur cluster binding"
100,UniProtKB:Q7CR66|PTN001601184,iron ion binding
101,UniProtKB:Q7CQW4|PTN002016832,efflux transmembrane transporter activity
102,UniProtKB:Q7CQW4|PTN002016832,transmembrane transporter activity
103,UniProtKB:Q7CQW4|PTN002016832,xenobiotic detoxification by transmembrane export across the plasma membrane
104,UniProtKB:Q7CQW4|PTN002016832,plasma membrane
105,UniProtKB:Q7CQW4|PTN002016832,transmembrane transport
106,UniProtKB:Q7CR93|PTN001863131,FMN biosynthetic process
107,UniProtKB:Q7CR93|PTN001863131,riboflavin kinase activity
108,UniProtKB:Q7CR93|PTN001863131,riboflavin metabolic process
109,UniProtKB:Q7CR95|PTN002016779,"regulation of DNA-templated transcription, initiation"
110,UniProtKB:Q7CR95|PTN002016779,DNA-binding transcription factor activity
111,UniProtKB:P06204|PTN001702502,'de novo' pyrimidine nucleobase biosynthetic process
112,UniProtKB:P06204|PTN001702502,pyrimidine nucleotide biosynthetic process
113,UniProtKB:P06204|PTN001702502,dihydroorotase activity
114,UniProtKB:P06204|PTN001702502,cytoplasm
115,UniProtKB:P06204|PTN001702502,cytosol
116,UniProtKB:P06202|PTN002016630,outer membrane-bounded periplasmic space
117,UniProtKB:P06202|PTN002016630,peptide transmembrane transporter activity
118,UniProtKB:P06202|PTN002016630,peptide transport
119,UniProtKB:P06196|PTN001696707,outer membrane-bounded periplasmic space
120,UniProtKB:P06196|PTN001696707,5'-nucleotidase activity
121,UniProtKB:P06196|PTN001696707,UDP-sugar diphosphatase activity
122,UniProtKB:P06196|PTN001696707,nucleotide catabolic process
123,UniProtKB:P06193|PTN001729079,tetrahydrofolate biosynthetic process
124,UniProtKB:P06193|PTN001729079,4-amino-4-deoxychorismate synthase activity
125,UniProtKB:P06193|PTN001729079,tryptophan biosynthetic process
126,UniProtKB:P06191|PTN002021361,alanine racemase activity
127,UniProtKB:P06191|PTN002021361,cytosol
128,UniProtKB:P06191|PTN002021361,D-alanine biosynthetic process
129,UniProtKB:P06191|PTN002021361,pyridoxal phosphate binding
130,UniProtKB:P06190|PTN001866176,cytosol
131,UniProtKB:P06190|PTN001866176,pentose catabolic process
132,UniProtKB:P06190|PTN001866176,aldehyde-lyase activity
133,UniProtKB:P06189|PTN002213182,cytosol
134,UniProtKB:P06189|PTN002213182,L-arabinose catabolic process to xylulose 5-phosphate
135,UniProtKB:P06189|PTN002213182,L-arabinose isomerase activity
136,UniProtKB:P06173|PTN001839778,DNA-directed 5'-3' RNA polymerase activity
137,UniProtKB:P06110|PTN001861871,chemotaxis
138,UniProtKB:P06110|PTN001861871,cytosol
139,UniProtKB:O66041|PTN002022981,cellular response to DNA damage stimulus
140,UniProtKB:O66041|PTN002022981,excinuclease repair complex
141,UniProtKB:P05416|PTN001755329,glycogen biosynthetic process
142,UniProtKB:P05416|PTN001755329,cytosol
143,UniProtKB:Q7CP66|PTN001630290,thymidine phosphorylase activity
144,UniProtKB:Q7CP66|PTN001630290,cytosol
145,UniProtKB:Q7CP88|PTN001766185,protein secretion
146,UniProtKB:Q7CP88|PTN001766185,TAM protein secretion complex
147,UniProtKB:Q7CP88|PTN001766185,integral component of cell outer membrane
148,UniProtKB:Q7CP97|PTN001701448,succinate dehydrogenase activity
149,UniProtKB:Q7CP97|PTN001701448,electron transfer activity
150,UniProtKB:Q7CP97|PTN001701448,fermentation
151,UniProtKB:Q7CP97|PTN001701448,plasma membrane fumarate reductase complex
152,UniProtKB:Q7CP97|PTN001701448,anaerobic respiration
153,UniProtKB:Q7CP97|PTN001701448,plasma membrane
154,UniProtKB:Q7CP97|PTN001701448,oxidoreductase activity
155,UniProtKB:Q7CP97|PTN001701448,flavin adenine dinucleotide binding
156,UniProtKB:Q7CPA4|PTN002017095,cytosol
157,UniProtKB:Q7CPA8|PTN002142939,plasma membrane
158,UniProtKB:Q7CPC6|PTN002012753,oxidoreductase activity
159,UniProtKB:Q7CPC6|PTN002012753,anaerobic respiration
160,UniProtKB:Q7CPC6|PTN002012753,plasma membrane
161,UniProtKB:Q7CPC6|PTN002012753,formate oxidation
162,UniProtKB:Q7CPC6|PTN002012753,integral component of membrane
163,UniProtKB:Q7CPC6|PTN002012753,formate dehydrogenase (quinone) activity
164,UniProtKB:Q7CPC6|PTN002012753,formate dehydrogenase complex
165,UniProtKB:Q7CPD4|PTN001651034,aminopeptidase activity
166,UniProtKB:Q7CPD4|PTN001651034,peptidase activity
167,UniProtKB:Q7CPD4|PTN001651034,cytosol
168,UniProtKB:Q7CPE2|PTN001807663,"proton-transporting ATP synthase complex, catalytic core F(1)"
169,UniProtKB:Q7CPE2|PTN001807663,ATPase activity
170,UniProtKB:Q7CPE4|PTN002124822,"proton-transporting ATP synthase complex, coupling factor F(o)"
171,UniProtKB:P08982|PTN001976851,regulation of response to osmotic stress
172,UniProtKB:P08982|PTN001976851,phosphorelay sensor kinase activity
173,UniProtKB:P08982|PTN001976851,integral component of plasma membrane
174,UniProtKB:P37426|PTN001696620,ATP binding
175,UniProtKB:P37426|PTN001696620,"ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor"
176,UniProtKB:P37426|PTN001696620,deoxyribonucleotide biosynthetic process
177,UniProtKB:P37426|PTN001696620,ribonucleoside-diphosphate reductase complex
178,UniProtKB:P37439|PTN002011320,glucose transmembrane transport
179,UniProtKB:P37439|PTN002011320,protein-phosphocysteine-sugar phosphotransferase activity
180,UniProtKB:P37439|PTN002011320,protein-phosphocysteine-glucose phosphotransferase system transporter activity
181,UniProtKB:P37439|PTN002011320,integral component of plasma membrane
182,UniProtKB:P37439|PTN002011320,phosphoenolpyruvate-dependent sugar phosphotransferase system
183,UniProtKB:P37457|PTN002148931,"transferase activity, transferring hexosyl groups"
184,UniProtKB:Q9F7B1|PTN002088233,protein tyrosine kinase activity
185,UniProtKB:Q9F7B1|PTN002088233,plasma membrane
186,UniProtKB:Q9F7B2|PTN001711776,protein tyrosine phosphatase activity
187,UniProtKB:P37594|PTN001920625,membrane
188,UniProtKB:P00929|PTN001618144,tryptophan biosynthetic process
189,UniProtKB:P00929|PTN001618144,tryptophan synthase activity
190,UniProtKB:P00929|PTN001618144,cytosol
191,UniProtKB:P00910|PTN001873009,phosphoribosylanthranilate isomerase activity
192,UniProtKB:P00910|PTN001873009,tryptophan biosynthetic process
193,UniProtKB:P00910|PTN001873009,indole-3-glycerol-phosphate synthase activity
194,UniProtKB:P00905|PTN001729071,tryptophan biosynthetic process
195,UniProtKB:P00905|PTN001729071,anthranilate phosphoribosyltransferase activity
196,UniProtKB:P00905|PTN001729071,phenazine biosynthetic process
197,UniProtKB:P10372|PTN001846625,cytoplasm
198,UniProtKB:P10372|PTN001846625,1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity
199,UniProtKB:P10372|PTN001846625,histidine biosynthetic process
200,UniProtKB:P10372|PTN001846625,tryptophan biosynthetic process
201,UniProtKB:P10370|PTN001847167,cytoplasm
202,UniProtKB:P10370|PTN001847167,histidine biosynthetic process
203,UniProtKB:P10370|PTN001847167,cytosol
204,UniProtKB:P10370|PTN001847167,histidinol dehydrogenase activity
205,UniProtKB:P10368|PTN001898687,imidazoleglycerol-phosphate dehydratase activity
206,UniProtKB:P10368|PTN001898687,histidine biosynthetic process
207,UniProtKB:Q9L6R3|PTN001622187,"dTDP-glucose 4,6-dehydratase activity"
208,UniProtKB:H9L4C3|PTN001917538,cytosol
209,UniProtKB:H9L4C3|PTN001917538,serine O-acetyltransferase activity
210,UniProtKB:H9L4C2|PTN001667743,glucosylceramide catabolic process
211,UniProtKB:H9L4C2|PTN001667743,glucosylceramidase activity
212,UniProtKB:H9L4B6|PTN002895506,diguanylate cyclase activity
213,UniProtKB:H9L4B6|PTN002895506,negative regulation of bacterial-type flagellum-dependent cell motility
214,UniProtKB:H9L4B6|PTN002895506,cell adhesion involved in single-species biofilm formation
215,UniProtKB:H9L4B6|PTN002895506,plasma membrane
216,UniProtKB:H9L4A9|PTN005002651,pilus
217,UniProtKB:H9L4A9|PTN005002651,cell adhesion involved in single-species biofilm formation
218,UniProtKB:H9L4A9|PTN005002651,cell adhesion
219,UniProtKB:H9L4A9|PTN005002651,pilus organization
220,UniProtKB:H9L4A8|PTN002123726,cell adhesion
221,UniProtKB:H9L4A8|PTN002123726,pilus organization
222,UniProtKB:H9L4A8|PTN002123726,cell adhesion involved in single-species biofilm formation
223,UniProtKB:H9L4A8|PTN002123726,pilus
224,UniProtKB:H9L4A7|PTN002020623,response to zinc ion
225,UniProtKB:H9L4A7|PTN002020623,plasma membrane
226,UniProtKB:H9L4A5|PTN001671539,transporter activity
227,UniProtKB:H9L4A4|PTN002019695,cell outer membrane
228,UniProtKB:H9L4A4|PTN002019695,fimbrial usher porin activity
229,UniProtKB:H9L4A4|PTN002019695,pilus assembly
230,UniProtKB:H9L499|PTN001622057,cytoplasm
231,UniProtKB:H9L499|PTN001622057,GDP-mannose metabolic process
232,UniProtKB:H9L499|PTN001622057,'de novo' GDP-L-fucose biosynthetic process
233,UniProtKB:H9L499|PTN001622057,"GDP-mannose 4,6-dehydratase activity"
234,UniProtKB:H9L495|PTN002017459,type II protein secretion system complex
235,UniProtKB:H9L495|PTN002017459,protein secretion
236,UniProtKB:H9L493|PTN001952251,ATPase-coupled transmembrane transporter activity
237,UniProtKB:H9L493|PTN001952251,ATP-binding cassette (ABC) transporter complex
238,UniProtKB:H9L492|PTN001826959,carboxy-lyase activity
239,UniProtKB:H9L492|PTN001826959,intracellular
240,UniProtKB:H9L492|PTN001826959,cytosol
241,UniProtKB:H9L490|PTN002023351,undecaprenyl-phosphate glucose phosphotransferase activity
242,UniProtKB:H9L490|PTN002023351,"phosphotransferase activity, for other substituted phosphate groups"
243,UniProtKB:H9L490|PTN002023351,colanic acid biosynthetic process
244,UniProtKB:H9L487|PTN001631075,'de novo' IMP biosynthetic process
245,UniProtKB:H9L487|PTN001631075,cytosol
246,UniProtKB:H9L487|PTN001631075,phosphoribosylglycinamide formyltransferase activity
247,UniProtKB:H9L487|PTN001631075,cytoplasm
248,UniProtKB:H9L481|PTN002215408,cytosol
249,UniProtKB:H9L481|PTN002215408,cellular response to DNA damage stimulus
250,UniProtKB:H9L470|PTN001877969,"transferase activity, transferring glycosyl groups"
251,UniProtKB:H9L469|PTN002214703,plasma membrane
252,UniProtKB:H9L469|PTN002214703,response to antibiotic
253,UniProtKB:H9L467|PTN002019890,DNA recombination
254,UniProtKB:H9L467|PTN002019890,recombinase activity
255,UniProtKB:H9L463|PTN002011978,DNA replication
256,UniProtKB:H9L463|PTN002011978,DNA strand elongation involved in DNA replication
257,UniProtKB:H9L460|PTN001689683,heme binding
258,UniProtKB:H9L460|PTN001689683,hydrogen peroxide catabolic process
259,UniProtKB:H9L460|PTN001689683,response to oxidative stress
260,UniProtKB:H9L460|PTN001689683,catalase activity
261,UniProtKB:H9L460|PTN001689683,cytosol
262,UniProtKB:H9L457|PTN002017727,DNA-binding transcription factor activity
263,UniProtKB:H9L457|PTN002017727,"regulation of transcription, DNA-templated"
264,UniProtKB:H9L457|PTN002017727,bacterial-type cis-regulatory region sequence-specific DNA binding
265,UniProtKB:H9L457|PTN002017727,protein-DNA complex
266,UniProtKB:H9L454|PTN001682496,organic substance transport
267,UniProtKB:H9L454|PTN001682496,transporter activity
268,UniProtKB:H9L454|PTN001682496,integral component of plasma membrane
269,UniProtKB:H9L449|PTN002014338,lipopolysaccharide core region biosynthetic process
270,UniProtKB:H9L449|PTN002014338,cytosol
271,UniProtKB:H9L449|PTN002014338,ADP-heptose-lipopolysaccharide heptosyltransferase activity
272,UniProtKB:H9L435|PTN001755396,"transferase activity, transferring glycosyl groups"
273,UniProtKB:H9L431|PTN001878058,"transferase activity, transferring glycosyl groups"
274,UniProtKB:H9L428|PTN001634224,cytosol
275,UniProtKB:H9L427|PTN001897621,ribonucleoprotein complex
276,UniProtKB:H9L427|PTN001897621,cytosol
277,UniProtKB:H9L427|PTN001897621,translation
278,UniProtKB:H9L427|PTN001897621,GTPase activity
279,UniProtKB:H9L416|PTN002020630,response to zinc ion
280,UniProtKB:H9L416|PTN002020630,plasma membrane
281,UniProtKB:H9L412|PTN002123775,pilus organization
282,UniProtKB:H9L412|PTN002123775,cell adhesion involved in single-species biofilm formation
283,UniProtKB:H9L412|PTN002123775,cell adhesion
284,UniProtKB:H9L412|PTN002123775,pilus
285,UniProtKB:H9L410|PTN002445507,chorismate mutase activity
286,UniProtKB:H9L410|PTN002445507,salicylic acid biosynthetic process
287,UniProtKB:H9L410|PTN002445507,chorismate metabolic process
288,UniProtKB:H9L408|PTN002123719,pilus organization
289,UniProtKB:H9L408|PTN002123719,pilus
290,UniProtKB:H9L408|PTN002123719,cell adhesion involved in single-species biofilm formation
291,UniProtKB:H9L408|PTN002123719,cell adhesion
292,UniProtKB:Q9XCI8|PTN001702768,ribosome binding
293,UniProtKB:Q9XCI8|PTN001702768,ribosomal large subunit assembly
294,UniProtKB:P12680|PTN002599813,cytoplasm
295,UniProtKB:P12680|PTN002599813,4-amino-4-deoxychorismate synthase activity
296,UniProtKB:P12680|PTN002599813,para-aminobenzoic acid biosynthetic process
297,UniProtKB:P12678|PTN001884828,biotin synthase activity
298,UniProtKB:P12678|PTN001884828,biotin biosynthetic process
299,UniProtKB:P12678|PTN001884828,"2 iron, 2 sulfur cluster binding"
300,UniProtKB:P12677|PTN001736504,biotin biosynthetic process
301,UniProtKB:P12677|PTN001736504,adenosylmethionine-8-amino-7-oxononanoate transaminase activity
302,UniProtKB:P12673|PTN002205988,cysteine biosynthetic process
303,UniProtKB:P12673|PTN002205988,high-affinity sulfate:proton symporter activity
304,UniProtKB:P12673|PTN002205988,integral component of plasma membrane
305,UniProtKB:P12673|PTN002205988,sulfate assimilation
306,UniProtKB:P14161|PTN001601289,mismatch repair
307,UniProtKB:P14161|PTN001601289,mismatch repair complex
308,UniProtKB:P14161|PTN001601289,ATPase activity
309,UniProtKB:P15888|PTN001888122,"2,4,6-trinitrotoluene catabolic process"
310,UniProtKB:P15888|PTN001888122,NAD(P)H nitroreductase activity
311,UniProtKB:P15888|PTN001888122,oxidoreductase activity
312,UniProtKB:P15888|PTN001888122,cytosol
313,UniProtKB:P15875|PTN001616189,2-isopropylmalate synthase activity
314,UniProtKB:P15875|PTN001616189,cytosol
315,UniProtKB:P15875|PTN001616189,leucine biosynthetic process
316,UniProtKB:Q8ZMY9|PTN002211454,lysozyme activity
317,UniProtKB:Q8ZMY0|PTN002211408,sigma factor antagonist activity
318,UniProtKB:Q8ZMX9|PTN001701429,L-aspartate oxidase activity
319,UniProtKB:Q8ZMX9|PTN001701429,'de novo' NAD biosynthetic process from aspartate
320,UniProtKB:Q8ZMX7|PTN002773313,ribosomal large subunit assembly
321,UniProtKB:Q8ZN95|PTN001922276,uridine transmembrane transporter activity
322,UniProtKB:Q8ZN95|PTN001922276,integral component of plasma membrane
323,UniProtKB:Q8ZN95|PTN001922276,cytidine transmembrane transporter activity
324,UniProtKB:Q8ZN95|PTN001922276,organic substance transport
325,UniProtKB:Q8ZMX4|PTN001625855,protein-disulfide reductase activity
326,UniProtKB:Q8ZMX4|PTN001625855,protein disulfide oxidoreductase activity
327,UniProtKB:Q8ZMX4|PTN001625855,cell redox homeostasis
328,UniProtKB:Q8ZMX4|PTN001625855,cytosol
329,UniProtKB:Q8ZMX4|PTN001625855,cytoplasm
330,UniProtKB:Q8ZMX4|PTN001625855,"oxidoreductase activity, acting on a sulfur group of donors, disulfide as acceptor"
331,UniProtKB:Q8ZN92|PTN002019175,cytosol
332,UniProtKB:Q8ZN92|PTN002019175,cytoplasm
333,UniProtKB:Q8ZN92|PTN002019175,sequence-specific DNA binding
334,UniProtKB:Q8ZN92|PTN002019175,"regulation of transcription, DNA-templated"
335,UniProtKB:Q8ZN92|PTN002019175,bacterial-type cis-regulatory region sequence-specific DNA binding
336,UniProtKB:Q8ZN91|PTN001821185,plasma membrane
337,UniProtKB:Q8ZN89|PTN001916525,"base-excision repair, DNA ligation"
338,UniProtKB:Q8ZN89|PTN001916525,cytosol
339,UniProtKB:Q8ZN89|PTN001916525,DNA ligase (NAD+) activity
340,UniProtKB:Q8ZMW8|PTN002205437,protein insertion into membrane
341,UniProtKB:Q8ZMW8|PTN002205437,Bam protein complex
342,UniProtKB:Q8ZN87|PTN002018957,plasma membrane
343,UniProtKB:Q8ZMW6|PTN001656416,gluconolactonase activity
344,UniProtKB:Q8ZMW6|PTN001656416,calcium ion binding
345,UniProtKB:Q8ZMW6|PTN001656416,L-ascorbic acid biosynthetic process
346,UniProtKB:Q8ZMW4|PTN002895512,negative regulation of bacterial-type flagellum-dependent cell motility
347,UniProtKB:Q8ZMW4|PTN002895512,diguanylate cyclase activity
348,UniProtKB:Q8ZMW4|PTN002895512,cell adhesion involved in single-species biofilm formation
349,UniProtKB:Q8ZMW4|PTN002895512,plasma membrane
350,UniProtKB:Q8ZN83|PTN001642077,sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity
351,UniProtKB:Q8ZN83|PTN001642077,intracellular
352,UniProtKB:Q8ZN83|PTN001642077,cytosol
353,UniProtKB:Q8ZN82|PTN001700911,pentose-phosphate shunt
354,UniProtKB:Q8ZN82|PTN001700911,cytosol
355,UniProtKB:Q8ZN82|PTN001700911,transketolase activity
356,UniProtKB:Q8ZMW1|PTN001666403,response to radiation
357,UniProtKB:Q8ZMW1|PTN001666403,double-strand break repair via homologous recombination
358,UniProtKB:Q8ZMW1|PTN001666403,SOS response
359,UniProtKB:Q8ZMV9|PTN002011558,porin activity
360,UniProtKB:Q8ZMV9|PTN002011558,efflux transmembrane transporter activity
361,UniProtKB:Q8ZMV9|PTN002011558,efflux pump complex
362,UniProtKB:Q8ZMV8|PTN001954174,transmembrane transport
363,UniProtKB:Q8ZMV8|PTN001954174,ATPase-coupled lipid transmembrane transporter activity
364,UniProtKB:Q8ZMV8|PTN001954174,ATPase-coupled transmembrane transporter activity
365,UniProtKB:Q8ZN74|PTN001657659,tRNA acetylation
366,UniProtKB:Q8ZN74|PTN001657659,tRNA N-acetyltransferase activity
367,UniProtKB:Q8ZN74|PTN001657659,tRNA binding
368,UniProtKB:Q8ZN74|PTN001657659,tRNA wobble cytosine modification
369,UniProtKB:Q8ZN70|PTN002166948,"transcription, DNA-templated"
370,UniProtKB:Q8ZN70|PTN002166948,cytosol
371,UniProtKB:Q8ZMU9|PTN002019882,DNA recombination
372,UniProtKB:Q8ZMU9|PTN002019882,recombinase activity
373,UniProtKB:Q8ZN68|PTN002011876,cytosol
374,UniProtKB:Q8ZN59|PTN001727651,GTP biosynthetic process
375,UniProtKB:Q8ZN59|PTN001727651,IMP dehydrogenase activity
376,UniProtKB:Q8ZMT7|PTN002211447,lysozyme activity
377,UniProtKB:Q8ZN52|PTN002022596,rRNA base methylation
378,UniProtKB:Q8ZN52|PTN002022596,tRNA methylation
379,UniProtKB:Q8ZN51|PTN001978847,cytoplasm
380,UniProtKB:Q8ZN48|PTN001699722,molybdenum ion binding
381,UniProtKB:Q8ZN48|PTN001699722,anaerobic respiration
382,UniProtKB:Q8ZN48|PTN001699722,outer membrane-bounded periplasmic space
383,UniProtKB:Q8ZN48|PTN001699722,electron transfer activity
384,UniProtKB:Q8ZN47|PTN002086895,peptidoglycan biosynthetic process
385,UniProtKB:Q8ZN47|PTN002086895,response to antibiotic
386,UniProtKB:Q8ZN47|PTN002086895,penicillin binding
387,UniProtKB:Q8ZN47|PTN002086895,drug binding
388,UniProtKB:Q8ZN47|PTN002086895,peptidoglycan glycosyltransferase activity
389,UniProtKB:Q8ZN45|PTN002604119,cytosol
390,UniProtKB:Q8ZN45|PTN002604119,thiosulfate sulfurtransferase activity
391,UniProtKB:Q8ZN45|PTN002604119,transsulfuration
392,UniProtKB:Q8ZMS3|PTN002020710,sequence-specific DNA binding
393,UniProtKB:Q8ZMS3|PTN002020710,site-specific DNA-methyltransferase (adenine-specific) activity
394,UniProtKB:Q8ZMS3|PTN002020710,S-adenosyl-L-methionine binding
395,UniProtKB:Q8ZMS3|PTN002020710,mismatch repair
396,UniProtKB:Q8ZMS2|PTN002215325,positive regulation of secondary metabolite biosynthetic process
397,UniProtKB:Q8ZN41|PTN001796323,[2Fe-2S] cluster assembly
398,UniProtKB:Q8ZN41|PTN001796323,iron-sulfur cluster transfer complex
399,UniProtKB:Q8ZN41|PTN001796323,cytosol
400,UniProtKB:Q8ZN41|PTN001796323,protein maturation by iron-sulfur cluster transfer
401,UniProtKB:Q8ZN41|PTN001796323,cytoplasm
