,gene_id,gene_ontology
622,STM0067,glutamine metabolic process
623,STM0067,nitrogen compound metabolic process
624,STM0066,carbamoyl-phosphate synthase complex
625,STM0066,cytoplasm
626,STM0066,arginine biosynthetic process
627,STM0066,nitrogen compound metabolic process
628,STM4359,mismatch repair
629,STM4359,mismatch repair complex
630,STM4359,ATPase activity
637,STM1174,bacterial-type flagellum hook
638,STM1174,bacterial-type flagellum-dependent swarming motility
639,STM1299,glutamate biosynthetic process
640,STM1299,glutamate dehydrogenase (NADP+) activity
641,STM1299,cytosol
642,STM0042,integral component of plasma membrane
643,STM0042,organic substance transport
644,STM0042,transporter activity
645,STM0046,isoleucine-tRNA ligase activity
646,STM0046,isoleucyl-tRNA aminoacylation
647,STM0046,cytosol
648,STM0051,cytosol
649,STM0051,purine nucleoside catabolic process
650,STM0051,purine nucleosidase activity
651,STM0052,phosphorelay response regulator activity
652,STM0053,integral component of plasma membrane
653,STM0053,phosphorelay sensor kinase activity
654,STM0053,protein autophosphorylation
655,STM0053,histidine phosphotransfer kinase activity
656,STM0058,cellular protein modification process
657,STM0058,[citrate (pro-3S)-lyase] ligase activity
658,STM0060,magnesium ion binding
659,STM0060,oxaloacetate metabolic process
662,STM0064,4-hydroxy-tetrahydrodipicolinate reductase
663,STM0064,cytosol
664,STM0064,diaminopimelate biosynthetic process
665,STM0074,transport
666,STM0074,transmembrane transporter activity
667,STM0074,plasma membrane
668,STM0074,integral component of membrane
671,STM0095,pseudouridine synthase activity
672,STM0095,enzyme-directed rRNA pseudouridine synthesis
673,STM0097,DNA-directed DNA polymerase activity
674,STM0097,SOS response
675,STM0097,3'-5'-exodeoxyribonuclease activity
676,STM0097,DNA replication proofreading
677,STM0107,plasma membrane
684,STM0125,cell wall macromolecule biosynthetic process
685,STM0125,phospho-N-acetylmuramoyl-pentapeptide-transferase activity
686,STM0125,cell wall organization
687,STM0125,integral component of plasma membrane
688,STM0125,"phosphotransferase activity, for other substituted phosphate groups"
689,STM0130,peptidoglycan biosynthetic process
690,STM0130,D-alanine-D-alanine ligase activity
691,STM0130,cytosol
692,STM0133,GTPase activity
693,STM0133,cell division
694,STM0133,cytoplasm
695,STM0133,cell division site
696,STM0133,GTP binding
697,STM0136,cytosol
698,STM0136,protein transport by the Sec complex
699,STM0136,ATP binding
700,STM0136,cell envelope Sec protein transport complex
701,STM0136,ATPase-coupled protein transmembrane transporter activity
702,STM0136,integral component of plasma membrane
703,STM0141,cytosol
704,STM0142,protein secretion by the type II secretion system
705,STM0142,plasma membrane
706,STM0153,lipoic acid binding
707,STM0153,acetyltransferase activity
708,STM0153,cytoplasm
709,STM0153,acetyl-CoA biosynthetic process from pyruvate
710,STM0154,flavin adenine dinucleotide binding
711,STM0154,dihydrolipoyl dehydrogenase activity
712,STM0154,oxidation-reduction process
713,STM0158,"propionate catabolic process, 2-methylcitrate cycle"
714,STM0158,cytosol
715,STM0158,2-methylisocitrate dehydratase activity
716,STM0158,tricarboxylic acid cycle
717,STM0158,aconitate hydratase activity
718,STM0158,"4 iron, 4 sulfur cluster binding"
719,STM0165,cytosol
720,STM0165,spermidine biosynthetic process
721,STM0165,adenosylmethionine decarboxylase activity
722,STM0166,spermidine synthase activity
723,STM0166,cytosol
724,STM0166,spermidine biosynthetic process
725,STM0168,oxidoreductase activity
726,STM0168,ferroxidase activity
727,STM0168,outer membrane-bounded periplasmic space
728,STM0171,carbon utilization
729,STM0173,plasma membrane
730,STM0174,pilus organization
731,STM0174,cell adhesion involved in single-species biofilm formation
732,STM0174,pilus
733,STM0177,pilus
734,STM0177,pilus organization
735,STM0177,cell adhesion involved in single-species biofilm formation
736,STM0181,pantoate-beta-alanine ligase activity
737,STM0181,pantothenate biosynthetic process
738,STM0181,cytosol
739,STM0182,pantothenate biosynthetic process
740,STM0182,3-methyl-2-oxobutanoate hydroxymethyltransferase activity
741,STM0182,cytoplasm
742,STM0182,magnesium ion binding
746,STM0187,"regulation of transcription, DNA-templated"
747,STM0187,DNA binding
748,STM0190,penicillin binding
749,STM0190,response to antibiotic
750,STM0190,peptidoglycan biosynthetic process
751,STM0190,peptidoglycan glycosyltransferase activity
752,STM0191,cell outer membrane
753,STM0191,siderophore uptake transmembrane transporter activity
754,STM0002,homoserine biosynthetic process
755,STM0002,homoserine dehydrogenase activity
756,STM0002,aspartate kinase activity
757,STM0005,response to hydroperoxide
758,STM0005,cytosol
759,STM0220,"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway involved in terpenoid biosynthetic process"
760,STM0220,manganese ion binding
761,STM0220,1-deoxy-D-xylulose-5-phosphate reductoisomerase activity
762,STM0220,NADPH binding
763,STM0221,polyprenol biosynthetic process
764,STM0221,magnesium ion binding
765,STM0221,cytosol
766,STM0221,"di-trans,poly-cis-decaprenylcistransferase activity"
767,STM0221,manganese ion binding
768,STM0221,polyprenyltransferase activity
769,STM0024,cell adhesion involved in single-species biofilm formation
770,STM0024,pilus
771,STM0024,pilus organization
772,STM0030,"regulation of transcription, DNA-templated"
773,STM1960,bacterial-type flagellum-dependent cell motility
774,STM1960,bacterial-type flagellum filament cap
775,STM1178,bacterial-type flagellum-dependent swarming motility
776,STM1178,bacterial-type flagellum hook
777,STM0670,methylthiotransferase activity
778,STM0670,tRNA methylthiolation
779,STM0670,N6-isopentenyladenosine methylthiotransferase activity
780,STM0670,cytosol
781,STM0670,"4 iron, 4 sulfur cluster binding"
782,STM2457,ethanolamine ammonia-lyase complex
783,STM2457,cobalamin binding
784,STM2458,ethanolamine catabolic process
785,STM2458,cytosol
786,STM2458,ethanolamine ammonia-lyase complex
789,STM1824,cytoplasm
790,STM1824,4-amino-4-deoxychorismate synthase activity
791,STM1824,para-aminobenzoic acid biosynthetic process
792,STM0794,biotin synthase activity
793,STM0794,biotin biosynthetic process
794,STM0794,"2 iron, 2 sulfur cluster binding"
795,STM0793,biotin biosynthetic process
796,STM0793,adenosylmethionine-8-amino-7-oxononanoate transaminase activity
797,STM2429,cysteine biosynthetic process
798,STM2429,high-affinity sulfate:proton symporter activity
799,STM2429,integral component of plasma membrane
800,STM2429,sulfate assimilation
801,STM1605,"regulation of transcription, DNA-templated"
802,STM1605,DNA-binding transcription factor activity
803,STM1606,plasma membrane
804,STM1608,methyltransferase activity
805,STM1609,cation efflux transmembrane transporter activity
806,STM1609,plasma membrane
807,STM1611,peptide-serine-N-acetyltransferase activity
808,STM1611,ribosomal-protein-alanine N-acetyltransferase activity
809,STM1611,cytoplasm
810,STM1611,N-terminal peptidyl-serine acetylation
811,STM1614,plasma membrane
812,STM1617,"pentose-phosphate shunt, non-oxidative branch"
813,STM1617,metal ion binding
814,STM1617,ribulose-phosphate 3-epimerase activity
815,STM1617,cellular carbohydrate metabolic process
816,STM1617,cytosol
817,STM1617,pentose catabolic process
818,STM1620,plasma membrane
819,STM1620,lactate oxidation
820,STM1620,L-lactate dehydrogenase activity
823,STM1625,cytosol
824,STM1625,"regulation of transcription, DNA-templated"
825,STM1625,bacterial-type cis-regulatory region sequence-specific DNA binding
826,STM1626,integral component of plasma membrane
827,STM1626,transmembrane signaling receptor activity
828,STM1626,chemotaxis
829,STM1627,cytosol
830,STM1627,S-(hydroxymethyl)glutathione dehydrogenase activity
831,STM1627,zinc ion binding
832,STM1627,formaldehyde catabolic process
833,STM1627,"alcohol dehydrogenase activity, zinc-dependent"
834,STM1632,regulation of mRNA stability
835,STM1632,cytoplasm
836,STM1632,mRNA 3'-UTR binding
837,STM1634,amino acid transport
838,STM1634,plasma membrane
839,STM1636,amino acid transport
840,STM1636,L-cystine transport
841,STM1636,plasma membrane
842,STM1636,L-cystine transmembrane transporter activity
843,STM1637,lipopolysaccharide biosynthetic process
844,STM1637,"transferase activity, transferring pentosyl groups"
845,STM1637,plasma membrane
846,STM1637,response to iron(III) ion
847,STM1639,plasma membrane
848,STM1639,heme binding
849,STM1641,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)"
850,STM1641,mRNA processing
851,STM1641,intracellular anatomical structure
