Genome ID,Genome Name,Organism Name,NCBI Taxon ID,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Other Typing,Culture Collection,Type Strain,Completion Date,Publication,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,RefSeq Accessions,Sequencing Centers,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosomes,Plasmids,Contigs,Genome Length,GC Content,PATRIC CDS,RefSeq CDS,Isolation Site,Isolation Source,Isolation Comments,Collection Date,Isolation Country,Geographic Location,Latitude,Longitude,Altitude,Depth,Other Environmental,Host Name,Host Gender,Host Age,Host Health,Body Sample Site,Body Sample Subsite,Other Clinical,AntiMicrobial Resistance,AntiMicrobial Resistance Evidence,Gram Stain,Cell Shape,Motility,Sporulation,Temperature Range,Optimal Temperature,Salinity,Oxygen Requirement,Habitat,Disease,Comments,Additional Metadata,Coarse Consistency,Fine Consistency,Checkm Completeness,Checkm Contamination,Genome Quality Flags,Genome Quality,Date Inserted,Date Modified,RNA,RNA_strains
1620419.49,Salmonella enterica subsp. enterica serovar Typhimurium var. 5- strain CVM N51275,,1620419,WGS,CVM N51275,Typhimurium var. 5-,,,MLST.Salmonella_enterica.19,,,,2015-08-05T00:00:00Z,27381390,PRJNA242614,SAMN03894366,GCF_001246695.1,SRR2567168,LHNL01000000,,FDA,,Illumina Miseq,52.9x,CLC Genomics Workbench v. 6.0.2,,,82,5050918,52.11,5224,4801,,Chicken Breast,,2013,United States,USA: MD,,,,,,,,,,,,,Resistant;Susceptible,AMR Panel,,,,,,,,,,,The study goal is to look at the phenotype and genotype correlation in Salmonella enterica with different antibiotic resistance patterns.,collected_by:FDA,99.8,99.3,100,,,Good,2016-01-17T16:56:41.801Z,2016-01-17T16:56:41.801Z,No_RNA_Seq,
90371.2564,Salmonella enterica subsp. enterica serovar Typhimurium strain STMU2UK,,90371,Complete,STMU2UK,Typhimurium,,,MLST.Salmonella_enterica.313,,,,2017-05-24T00:00:00Z,,PRJEB20926,SAMEA104087369,,,"LT855376,LT855377",,UNIVERSITY OF LIVERPOOL,,,20x,,1,1,2,4905261,52.24,4948,4563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salmonella enterica serovar Typhimurium ST313 responsible for gastroenteritis in the UK are genetically distinct from isolates causing bloodstream infections in Africa,,99.9,99.4,100,0.2,,Good,2017-07-27T23:17:16.720Z,2017-07-27T23:17:16.720Z,No_RNA_Seq,
90371.3597,Salmonella enterica subsp. enterica serovar Typhimurium strain 01ST04081,,90371,Complete,01ST04081,Typhimurium,,,,,,,2019-06-20T00:00:00Z,,PRJNA474402,SAMN09302772,GCA_006384995.1,,"CP029840,CP029841,CP029842",,Queensland Department of Health,,PacBio,200.0x,HGAP v. 3,1,2,3,5125257,52.03339,5411,5206,,feces,,2001,,Australia,,,,,,"Human, Homo sapiens",,,Salmonella gastroenteritis,,,,,,,,,,,,,,,,Sequencing of Salmonella Typhimurium pSLT and IncI1 like plasmids,collected_by:QLD department of Health,99.6,99,,,,Good,2019-09-30T08:11:40.377Z,2019-09-30T08:11:40.377Z,No_RNA_Seq,
90371.3754,Salmonella enterica subsp. enterica serovar Typhimurium strain SO21,,90371,Complete,SO21,Typhimurium,,,MLST.Salmonella_enterica.213,genotype:ST213,,,2019-11-04T00:00:00Z,,PRJNA491754,SAMN10076455,GCA_009497855.1,,"CP032494,CP032495,CP032497,CP032499,CP032498,CP032496",,Centro de Ciencias Genomicas - UNAM,,Oxford Nanopore MiniION,433x,unicycler v. 0.4.5,1,5,6,5060451,52.06927,5223,4926,,retail meat,,2004,Mexico,Mexico: Sonora,,,,,,Beef,,,,,,,,,,,,,,,,,,,"A recent Salmonella Typhimurium genotype, named ST213, associated with food-animals and humans in Mexico, has emerged as a public health problem due to its multi-drug resistance phenotype and association with human systemic infections. We applied whole-genome sequencing to analyze the genomic basis of the evolution of this recently emerged genotype. Previous studies had revealed that the accessory genome of ST213 strains includes multi-drug resistance IncA/C plasmids and distinctive chromosomal and plasmid prophages, which could encode key adaptive traits that explain the evolutionary paths and ecological success of this Typhimurium genotype. This data is part of a pre-publication release.",collected_by:M. Zaidi,97.2,96.3,,,,Good,2019-12-30T20:25:27.948Z,2019-12-30T20:25:27.948Z,No_RNA_Seq,
90371.2823,Salmonella enterica subsp. enterica serovar Typhimurium strain CFSAN068033,,90371,WGS,CFSAN068033,Typhimurium,,,MLST.Salmonella_enterica.19,,,,2017-11-29T00:00:00Z,,PRJNA186035,SAMN08016458,GCA_002798835.1,,PHJA01000000,,Center for Food Safety and Applied Nutrition,,Illumina NextSeq,150x,CLC Genomics Workbench 10 v. Nov-2017,,,70,5001987,51.8,5270,5053,,mesenteric lymph node,,2000,Brazil,Brazil,,,,,,"Pig, Sus scrofa",,,,,,,,,,,,,,,,,,,Currently encompasses whole genome sequencing of cultured pathogens as part of a surveillance project for the rapid detection of outbreaks of foodborne illnesses,collected_by:FDA,99.9,98.8,100,,,Good,2018-01-01T01:01:29.551Z,2018-01-01T01:01:29.551Z,No_RNA_Seq,
90371.3678,Salmonella enterica subsp. enterica serovar Typhimurium strain RS20,,90371,WGS,RS20,Typhimurium,,,MLST.Salmonella_enterica.19,,,,2019-09-09T00:00:00Z,31476731,PRJNA549805,SAMN12097898,GCA_008363975.1,,VHMX01000000,,Murdoch University,,Illumina MiSeq,100x,SPAdes v. 3.10.1,,,72,4878307,52.188343,5074,4735,,Retail table eggs,,Nov-2017,Australia,Australia: Perth,,,,,,,,,,,,,,,,,,,,,,,,,Salmonella isolates collected from a baseline survey of retail eggs sampled from Perth supermarkets (Western Australia). The research was completed by Murdoch University (VPH research lab),"collected_by:Hamidreza Sodagari, Murdoch University",99.9,98.9,,,,Good,2019-10-02T05:32:04.817Z,2019-10-02T05:32:04.817Z,No_RNA_Seq,
90371.3196,Salmonella enterica subsp. enterica serovar Typhimurium strain SAP17-7399,,90371,Complete,SAP17-7399,Typhimurium,,,MLST.Salmonella_enterica.2210,,,,2019-05-29T00:00:00Z,,PRJNA507262,SAMN11787767,GCA_005885855.1,,"CP040562,CP040563",,FDA Center for Food Safety and Applied Nutrition,,PacBio,456x,HGAP v. 3,1,1,2,4905613,52.143883,5024,4712,,stool,,,USA,USA:WA,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,Whole genome sequencing of cultured foodborne bacterial pathogens collected from the 2017 GenomeTrakr/PulseNet proficiency testing exercise. Six isolates were distributed for sequencing: 4 Salmonella enterica subsp. enterica serovar Typhimurium and 2 E.coli O157:H7 isolates.,collected_by:WA,99.8,99.4,,,,Good,2019-07-17T10:12:46.431Z,2019-07-17T10:12:46.431Z,No_RNA_Seq,
85569.159,Salmonella enterica subsp. enterica serovar Typhimurium str. DT104 strain V125,,85569,WGS,V125,Typhimurium,,,MLST.Salmonella_enterica.19,,,,2015-06-13T00:00:00Z,,PRJEB2215,SAMEA1484074,GCF_001218985.1,ERR164797,CTHW01000000,,SC,,,20x,,,,99,4967054,52.11,5131,4645,,,,2009,United Kingdom,United Kingdom: Scotland,,,,,,"Pig, Sus scrofa",,,,,,host_health_state:not known,,,,,,,,,,,,,"For further information on this study please see http://www.sanger.ac.uk/resources/downloads/bacteria/vibrio-cholerae.html This data is part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/",isolate:V125,99.8,99,100,,,Good,2016-01-17T16:48:16.273Z,2016-01-17T16:48:16.273Z,No_RNA_Seq,
90371.1940,Salmonella enterica subsp. enterica serovar Typhimurium strain ST931R,,90371,Complete,ST931R,Typhimurium,,,MLST.Salmonella_enterica.19,,,,2016-09-16T00:00:00Z,,PRJNA327740,SAMN05356919,GCF_001729225.1,,"CP016385,CP016386,CP016387,CP016388,CP016389,CP016390","NZ_CP016385.1,NZ_CP016386.1,NZ_CP016387.1,NZ_CP016388.1,NZ_CP016389.1,NZ_CP016390.1",University of Colroado Anschutz Medical Campus,,Illumina MiSeq,61x,Geneious de novo v. 6.7.1,1,5,6,5172494,52.05,5365,4937,,blood culture,,2013,United States,USA:Colorado,,,,,,"Human, Homo sapiens",,,Sepsis due to Salmonella,,,,,,,,,,,,,,,,patient samples from an invasive infection,collected_by:Bruce McCollister,99.6,99.2,100,,,Good,2016-11-16T10:13:56.928Z,2016-11-16T10:13:56.928Z,No_RNA_Seq,
90371.3181,Salmonella enterica subsp. enterica serovar Typhimurium strain SJTUF10112,,90371,WGS,SJTUF10112,Typhimurium,,,MLST.Salmonella_enterica.34,,,,2019-03-04T00:00:00Z,,PRJNA484101,SAMN09759453,GCA_004324315.1,,QSMO01000000,,Shanghai Jiao Tong University,,Illumina Hiseq,100x,SOAPdenovo v. 2.04,,,94,5174044,51.826035,5526,5302,,feces,,2006,China,China: Shanghai,,,,,,,,,,,,,,,,,,,,,,,,,We sequenced the genome of twenty-six Salmonella enterica subsp. enterica.,collected_by:Shanghai Municipal Center for Disease Control and Prevention,99.9,98.7,,,,Good,2019-07-17T07:03:57.145Z,2019-07-17T07:03:57.145Z,No_RNA_Seq,
90371.1863,Salmonella enterica subsp. enterica serovar Typhimurium strain CFSAN033853,,90371,WGS,CFSAN033853,Typhimurium,,,MLST.Salmonella_enterica.1649,,,,2016-03-21T00:00:00Z,,PRJNA186035,SAMN03941085,GCF_001595265.1,,LVGX00000000,,Center for Food Safety and Applied Nutrition,,Illumina NextSeq,35x,SPAdes v. 3.0.0,,,66,4907830,52.16,5069,4665,,feces,,1983,Brazil,Brazil,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,Currently encompasses whole genome sequencing of cultured pathogens as part of a surveillance project for the rapid detection of outbreaks of foodborne illnesses,collected_by:Adolfo Lutz Institute of Ribeirao Preto,99.8,98.9,99.8,0.2,,Good,2016-04-27T18:12:05.507Z,2016-04-27T18:12:05.507Z,No_RNA_Seq,
90371.705,Salmonella enterica subsp. enterica serovar Typhimurium strain smonpas003168-5,,90371,WGS,smonpas003168-5,,,,MLST.Salmonella_enterica.34,,,,2015-06-22T00:00:00Z,26294627,PRJNA266093,SAMN03162145,GCA_001034585.1,SRR1649149,LFDZ01000000,,IZSAM,,IonTorrent,18.0x,SPADES v. 3.1.0,,,14,4742947,52.22,5580,3409,,feces,,06-Feb-2014,Italy,Italy: L'Aquila,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"S. enterica ser. Typhimurium monophasic variant 1,4,[5],12:i:-, Italy 2013-2014;many frameshifted proteins",collected_by:Hospital,99.7,87.8,99.8,19,,Good,2016-01-17T16:09:03.554Z,2016-01-17T16:09:03.554Z,No_RNA_Seq,
90371.2618,Salmonella enterica subsp. enterica serovar Typhimurium strain WW012,,90371,Complete,WW012,Typhimurium,,,MLST.Salmonella_enterica.34,,,,2017-09-19T00:00:00Z,,PRJNA391357,SAMN07267217,GCA_002313125.1,,"CP022168,CP022169",,China National Center for Food Safety Risk Assessment,,PacBio,169.0x,HGAP v. 3.0,1,1,2,5142776,51.93,5227,,,Instant pork,,2016,China,China,,,,,,,,,,,,,,,,,,,,,,,,,"Complete genome sequence of Salmonella enterica subsp. enterica serovar Typhimurium, a mcr-1 harboring bacterium isolated from Prepared pork in China",sample_type:cell culture,99.9,99,100,,,Good,2017-09-29T01:45:01.813Z,2017-09-29T01:45:01.813Z,No_RNA_Seq,
1454644.3,Salmonella enterica subsp. enterica serovar Typhimurium str. USDA-ARS-USMARC-1906,,1454644,Complete,CDC 2009K-1640,Typhimurium,,,MLST.Salmonella_enterica.19,,,,2016-04-19T00:00:00Z,,PRJNA236713,SAMN02716877,GCF_001623805.1,,"CP014975,CP014976","NZ_CP014975.1,NZ_CP014976.1",USDA-ARS-USMARC,,PacBio RS II C3 P5,88.13,Celera v. 7.0,,1,2,5027726,52.13,5172,4786,,,,2009,United States,USA: BIFSCo Region 2,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,Salmonella comparative genomics,collected_by:CDC,99.8,99.4,100,,,Good,2016-04-28T13:19:33.105Z,2016-04-28T13:19:33.105Z,No_RNA_Seq,
90371.2479,Salmonella enterica subsp. enterica serovar Typhimurium strain R9_3275_R1,,90371,WGS,R9_3275_R1,,,,MLST.Salmonella_enterica.213,,,,2017-04-13T00:00:00Z,28389536,PRJNA308370,SAMN04394917,GCA_002091115.1,,NAAM00000000,,,,,20x,,,,96,5013811,52.1,5318,5099,,Human,,2011,United States,USA: Washington,,,,,,"Human, Homo sapiens",,,,,,,Resistant;Susceptible,AMR Panel,,,,,,,,,,,,isolate:HUM_TYPH_WA_11_R9_3275,99.9,98.7,100,0.2,,Good,2017-05-28T17:38:18.244Z,2017-05-28T17:38:18.244Z,No_RNA_Seq,
90371.3065,Salmonella enterica subsp. enterica serovar Typhimurium strain NC_WHO_S056,,90371,WGS,NC_WHO_S056,Typhimurium,,,MLST.Salmonella_enterica.19,,,,2018-12-06T00:00:00Z,,PRJNA293224,SAMN09635974,GCA_003897695.1,,RUGF01000000,,US Food and Drug Administration,,ILLUMINA,96x,SKESA v. 2.2,,,117,4712826,52.23365,4897,4740,,Human Stool,,2011-09-21,Lebanon,Lebanon,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,C,,,,,Whole genome sequencing of cultured Salmonella as part of the US Food and Drug Administration surveillance project for the rapid detection of outbreaks of foodborne illnesses.,collected_by:AUB Lab,99.8,99,,,,Good,2019-01-30T22:16:11.935Z,2019-01-30T22:16:11.935Z,No_RNA_Seq,
90371.1855,Salmonella enterica subsp. enterica serovar Typhimurium strain CFSAN033863,,90371,WGS,CFSAN033863,Typhimurium,,,MLST.Salmonella_enterica.19,,,,2016-03-21T00:00:00Z,,PRJNA186035,SAMN03941095,GCF_001595105.1,,LVGP00000000,,Center for Food Safety and Applied Nutrition,,Illumina NextSeq,62x,SPAdes v. 3.0.0,,,114,5000205,52.06,5217,4775,,feces,,1985,Brazil,Brazil,,,,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,Currently encompasses whole genome sequencing of cultured pathogens as part of a surveillance project for the rapid detection of outbreaks of foodborne illnesses,collected_by:Adolfo Lutz Institute of Ribeirao Preto,99.6,98.7,99,,,Good,2016-04-27T18:05:33.033Z,2016-04-27T18:05:33.033Z,No_RNA_Seq,
588858.78,Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S,,588858,Complete,14028S,Typhimurium,,,MLST.Salmonella_enterica.19,"genotype:relA frame-shift, SpoT F4A",,,2019-09-03T00:00:00Z,,PRJNA549464,SAMN12086477,GCA_008244845.1,,CP043400,,Yale University,,Illumina NovaSeq,30X,GS De Novo Assembler v. June-2019,1,,1,4870263,52.196404,4854,,,,,01-June-2019,,,,,,,,,,,,,,,,,,,,,,,,,,,These engineered strains for ClpS-substrate SpoT study,collected_by:Xiaohui Gao/Department of Microbial pathogenesis at Yale,99.9,99.5,,,,Good,2019-10-02T03:20:04.544Z,2019-10-02T03:20:04.544Z,RNA_Seq,14028S
90371.2490,Salmonella enterica subsp. enterica serovar Typhimurium strain NY_FSL S10-1269,,90371,WGS,NY_FSL S10-1269,Typhimurium,,,MLST.Salmonella_enterica.19,,,,2017-04-24T00:00:00Z,,PRJNA183850,SAMN01902460,GCA_002106175.1,,NBQE00000000,,New York State Dept. of Health - Wadsworth Center,,Illumina MiSeq,26.4511x,SPAdes v. 3.6.0,,,70,4951112,52.14,5256,5028,,water,,28-Feb-2011,United States,USA: NY,,,,,,,,,,,,,,,,,,,,,,,,,Currently encompasses whole genome sequencing of cultured pathogens as part of a surveillance project for the rapid detection of outbreaks of foodborne illnesses,collected_by:NY,99.8,99,100,,,Good,2017-05-29T02:19:00.534Z,2017-05-29T02:19:00.534Z,No_RNA_Seq,
90371.2412,Salmonella enterica subsp. enterica serovar Typhimurium strain BCW_1570,,90371,WGS,BCW_1570,,,,MLST.Salmonella_enterica.19,,,,2017-03-17T00:00:00Z,,PRJNA203445,SAMN02367609,GCA_002035105.1,,MXNR00000000,,,,,20x,,,,140,4911943,52.19,5039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9,99,100,,,Good,2017-05-27T14:45:53.166Z,2017-05-27T14:45:53.166Z,No_RNA_Seq,
